Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_mos_ovr,PESQ,STOI,SI_SDR
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,2.9874,1.3837,0.7436,8.4907
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,2.7759,1.4535,0.7327,9.0138
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,2.6824,1.4551,0.7344,9.355
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,2.9453,1.3599,0.753,8.1516
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,3.0188,1.438,0.7614,9.2019
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,2.603,1.4644,0.7732,9.2057
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,3.0489,1.522,0.7416,9.4495
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,3.2622,1.537,0.7415,7.4804
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,3.3945,1.5133,0.7476,8.0732
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,3.5776,1.4599,0.7474,8.2483
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,3.3579,1.4372,0.7352,8.8085
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,3.2297,1.4969,0.7375,9.2662
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,3.1525,1.4884,0.7324,8.6799
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,2.9029,1.5602,0.7647,9.2236
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,2.9116,1.5208,0.7477,9.3094
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,2.6533,1.3942,0.7591,8.6334
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,3.3512,1.4932,0.7191,7.3732
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,3.4289,1.3391,0.7512,7.2946
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,3.2337,1.392,0.7412,7.5416
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,3.3534,1.5207,0.753,8.4972
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,3.0813,1.4227,0.7475,8.3656
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,3.3829,1.4856,0.7409,9.0802
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,3.2663,1.5396,0.7282,9.0716
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,2.9828,1.5685,0.7497,8.9828
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,2.9756,1.458,0.749,9.5167
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,2.8971,1.4271,0.7539,8.4373
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,2.6536,1.4054,0.7495,8.6742
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,3.0413,1.4393,0.7568,8.8981
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,2.9497,1.417,0.7433,9.052
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,3.0263,1.484,0.7381,8.9811
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,3.2944,1.4529,0.7449,9.4207
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,2.8849,1.4683,0.7709,8.7631
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,2.74,1.4721,0.7443,9.3802
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,2.7475,1.59,0.7363,9.498
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,3.3509,1.5047,0.7368,8.2212
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,3.4357,1.4809,0.7324,7.8466
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,3.3385,1.4026,0.7166,7.7314
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,3.384,1.5267,0.7535,9.0757
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,3.2371,1.4725,0.7526,8.9284
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,3.1655,1.4001,0.7359,8.606
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,2.6047,1.5144,0.7524,8.8825
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,3.0427,1.5797,0.7522,9.9195
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,2.6681,1.5425,0.7483,9.1405
mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,3.2775,1.4238,0.7196,7.2842
mband_log_N4_F25_O25_FL0p7,log,4,25,25,0.7,1,3.6215,1.4477,0.7249,7.7833
mband_log_N4_F25_O25_FL0p8,log,4,25,25,0.8,1,3.491,1.4188,0.7265,7.4275
mband_log_N4_F25_O50_FL0p5,log,4,25,50,0.5,1,3.3698,1.495,0.7373,8.7611
mband_log_N4_F25_O50_FL0p7,log,4,25,50,0.7,1,3.1067,1.4981,0.7339,8.0993
mband_log_N4_F25_O50_FL0p8,log,4,25,50,0.8,1,3.0339,1.4932,0.738,8.6893
mband_log_N4_F25_O75_FL0p5,log,4,25,75,0.5,1,2.9937,1.5182,0.7548,9.4078
mband_log_N4_F25_O75_FL0p7,log,4,25,75,0.7,1,2.9106,1.4292,0.725,8.8396
mband_log_N4_F25_O75_FL0p8,log,4,25,75,0.8,1,2.9976,1.4805,0.7256,9.3057
mband_log_N4_F8_O25_FL0p5,log,4,8,25,0.5,1,2.9306,1.4475,0.7361,8.3816
mband_log_N4_F8_O25_FL0p7,log,4,8,25,0.7,1,2.7544,1.4546,0.7477,9.1973
mband_log_N4_F8_O25_FL0p8,log,4,8,25,0.8,1,3.2059,1.4016,0.7452,8.8186
mband_log_N4_F8_O50_FL0p5,log,4,8,50,0.5,1,2.7723,1.4578,0.7458,8.2327
mband_log_N4_F8_O50_FL0p7,log,4,8,50,0.7,1,2.8985,1.4121,0.7333,8.2746
mband_log_N4_F8_O50_FL0p8,log,4,8,50,0.8,1,3.0525,1.4649,0.7415,9.6394
mband_log_N4_F8_O75_FL0p5,log,4,8,75,0.5,1,2.5633,1.4748,0.7587,9.4314
mband_log_N4_F8_O75_FL0p7,log,4,8,75,0.7,1,3.0299,1.461,0.7498,9.4475
mband_log_N4_F8_O75_FL0p8,log,4,8,75,0.8,1,3.1518,1.46,0.7483,8.6896
mband_log_N8_F20_O25_FL0p5,log,8,20,25,0.5,1,3.33,1.4442,0.7457,7.6531
mband_log_N8_F20_O25_FL0p7,log,8,20,25,0.7,1,3.2826,1.4267,0.7401,7.8983
mband_log_N8_F20_O25_FL0p8,log,8,20,25,0.8,1,3.0901,1.4169,0.7276,7.9792
mband_log_N8_F20_O50_FL0p5,log,8,20,50,0.5,1,3.2056,1.5327,0.7379,8.5156
mband_log_N8_F20_O50_FL0p7,log,8,20,50,0.7,1,3.3564,1.5087,0.743,9.1121
mband_log_N8_F20_O50_FL0p8,log,8,20,50,0.8,1,3.2352,1.4218,0.7417,8.9812
mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,1,3.0137,1.5246,0.7369,9.1304
mband_log_N8_F20_O75_FL0p7,log,8,20,75,0.7,1,3.0708,1.4312,0.7418,8.9067
mband_log_N8_F20_O75_FL0p8,log,8,20,75,0.8,1,2.7745,1.443,0.7311,9.0981
mband_log_N8_F25_O25_FL0p5,log,8,25,25,0.5,1,3.3934,1.4108,0.7176,7.1775
mband_log_N8_F25_O25_FL0p7,log,8,25,25,0.7,1,3.4013,1.4596,0.746,7.821
mband_log_N8_F25_O25_FL0p8,log,8,25,25,0.8,1,3.2908,1.3924,0.7356,7.4816
mband_log_N8_F25_O50_FL0p5,log,8,25,50,0.5,1,3.4168,1.4711,0.7615,8.4973
mband_log_N8_F25_O50_FL0p7,log,8,25,50,0.7,1,3.6362,1.429,0.7485,8.5728
mband_log_N8_F25_O50_FL0p8,log,8,25,50,0.8,1,2.9678,1.5621,0.7574,8.6604
mband_log_N8_F25_O75_FL0p5,log,8,25,75,0.5,1,3.0096,1.3525,0.7379,8.6076
mband_log_N8_F25_O75_FL0p7,log,8,25,75,0.7,1,3.1074,1.4981,0.74,9.4571
mband_log_N8_F25_O75_FL0p8,log,8,25,75,0.8,1,3.0444,1.4281,0.7483,9.1921
