Config_ID,Mode,Status,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SNR_dB,Noise_Category,clean_file,enhanced_file,PESQ,STOI,SI_SDR,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,sampling_rate,source_file
mband_linear_N16_F8_O25_FL0p8,hybrid,Success,linear,16,8,25,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.3849122524261477,0.7542216181755066,8.552889823913574,3.244110584259033,2.958500074814219,3.5619875774533147,2.553319353395934,16000,mband_linear_N16_F8_O25_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F8_O50_FL0p5,hybrid,Success,linear,16,8,50,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O50_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4716182947158811,0.7384811639785767,8.992507934570312,3.1355884075164795,3.6158536617848087,4.119732094464477,3.1968812007803544,16000,mband_linear_N16_F8_O50_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O50_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F8_O50_FL0p7,hybrid,Success,linear,16,8,50,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O50_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4625545740127563,0.7318316102027893,9.072845458984377,3.321216106414795,3.624708008458779,4.069272501285635,3.198158500575313,16000,mband_linear_N16_F8_O50_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O50_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F8_O50_FL0p8,hybrid,Success,linear,16,8,50,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O50_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.439271330833435,0.7265214323997498,9.169503211975098,3.308379650115967,3.4936979913211026,3.623253440838643,2.971885546388851,16000,mband_linear_N16_F8_O50_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O50_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F8_O75_FL0p5,hybrid,Success,linear,16,8,75,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O75_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.484276533126831,0.7370067238807678,8.984014511108398,3.2191920280456543,3.19856210510938,3.817952385644652,2.8144674834088588,16000,mband_linear_N16_F8_O75_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O75_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F8_O75_FL0p7,hybrid,Success,linear,16,8,75,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O75_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.539445877075195,0.7572072148323059,9.574089050292969,3.3772521018981934,3.341686925513305,3.47613209493234,2.834568500175934,16000,mband_linear_N16_F8_O75_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O75_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F8_O75_FL0p8,hybrid,Success,linear,16,8,75,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F8_O75_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4268641471862793,0.735411524772644,9.21336555480957,3.272698163986206,3.470262396968866,3.3956103029841924,2.835087418566191,16000,mband_linear_N16_F8_O75_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F8_O75_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N4_F20_O25_FL0p5,hybrid,Success,linear,4,20,25,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N4_F20_O25_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4057979583740234,0.7368032932281494,7.915890216827393,3.3344643115997314,3.723567730967712,3.60368825901577,3.089438665614973,16000,mband_linear_N4_F20_O25_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N4_F20_O25_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N4_F20_O25_FL0p7,hybrid,Success,linear,4,20,25,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N4_F20_O25_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4241455793380735,0.7420468926429749,8.207170486450195,3.2932190895080566,3.921344981271917,3.815494679880212,3.3506752303542684,16000,mband_linear_N4_F20_O25_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N4_F20_O25_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N4_F20_O25_FL0p8,hybrid,Success,linear,4,20,25,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N4_F20_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.449657917022705,0.7526794075965881,8.335379600524902,3.3800628185272217,3.933440921496853,3.810345140557232,3.387470889543419,16000,mband_linear_N4_F20_O25_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N4_F20_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
