Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_linear_N16_F8_O75_FL0p5,linear,16,8,75,0.5,1,8.984,1.4843,0.737,2.8145
mband_linear_N16_F8_O75_FL0p7,linear,16,8,75,0.7,1,9.5741,1.5394,0.7572,2.8346
mband_linear_N16_F8_O75_FL0p8,linear,16,8,75,0.8,1,9.2134,1.4269,0.7354,2.8351
mband_linear_N4_F20_O25_FL0p5,linear,4,20,25,0.5,1,7.9159,1.4058,0.7368,3.0894
mband_linear_N4_F20_O25_FL0p7,linear,4,20,25,0.7,1,8.2072,1.4241,0.742,3.3507
mband_linear_N4_F20_O25_FL0p8,linear,4,20,25,0.8,1,8.3354,1.4497,0.7527,3.3875
mband_linear_N4_F20_O50_FL0p5,linear,4,20,50,0.5,1,9.0269,1.5207,0.7315,3.3736
mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,9.0229,1.5291,0.7474,3.4005
mband_linear_N4_F20_O50_FL0p8,linear,4,20,50,0.8,1,9.233,1.4397,0.756,3.0833
mband_linear_N4_F20_O75_FL0p5,linear,4,20,75,0.5,1,9.0988,1.462,0.7338,2.8297
mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,9.3207,1.4676,0.7578,3.0001
mband_linear_N4_F20_O75_FL0p8,linear,4,20,75,0.8,1,9.2396,1.5051,0.7361,2.7777
mband_linear_N4_F25_O25_FL0p5,linear,4,25,25,0.5,1,7.1081,1.4631,0.7342,3.2387
mband_linear_N4_F25_O25_FL0p7,linear,4,25,25,0.7,1,7.808,1.4566,0.7262,3.2542
mband_linear_N4_F25_O25_FL0p8,linear,4,25,25,0.8,1,7.3454,1.4146,0.7395,3.4934
mband_linear_N4_F25_O50_FL0p5,linear,4,25,50,0.5,1,8.5848,1.4345,0.726,2.8101
mband_linear_N4_F25_O50_FL0p7,linear,4,25,50,0.7,1,8.5796,1.5257,0.7432,3.4415
mband_linear_N4_F25_O50_FL0p8,linear,4,25,50,0.8,1,8.8803,1.4911,0.7391,3.1202
mband_linear_N4_F25_O75_FL0p5,linear,4,25,75,0.5,1,9.3051,1.57,0.7484,2.9881
mband_linear_N4_F25_O75_FL0p7,linear,4,25,75,0.7,1,9.1605,1.5128,0.7557,2.9303
mband_linear_N4_F25_O75_FL0p8,linear,4,25,75,0.8,1,8.7369,1.4078,0.7604,2.7727
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,9.148,1.4321,0.7469,2.9062
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,8.7975,1.4832,0.763,3.1227
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,8.5645,1.378,0.7539,2.8031
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,8.7146,1.5356,0.748,3.0152
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,9.2179,1.4945,0.7422,2.9505
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,9.7258,1.418,0.7379,3.1685
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,8.7807,1.5436,0.7432,2.8205
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,9.342,1.5331,0.753,2.8927
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,9.2445,1.4298,0.7352,2.9852
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,7.8705,1.4514,0.7089,3.5468
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,7.725,1.4311,0.7426,3.1559
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,7.7621,1.4197,0.7559,3.4907
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,9.2303,1.4606,0.7385,3.4636
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,8.4303,1.4294,0.7383,3.2399
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,8.7376,1.4875,0.7317,3.2551
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,9.6782,1.5807,0.7593,3.1398
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,8.7262,1.4136,0.7408,3.0515
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,9.0059,1.4611,0.7414,2.6709
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,7.4763,1.4431,0.7382,2.8729
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,7.2772,1.361,0.721,3.2839
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,7.5569,1.4381,0.7565,3.2282
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,8.7167,1.4565,0.7245,3.2376
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,8.7148,1.4588,0.7203,3.2657
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,8.7568,1.4685,0.7255,3.2261
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,8.5531,1.5048,0.7353,2.9639
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,9.3814,1.4801,0.7422,3.2929
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,9.0977,1.4056,0.7277,3.0435
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,8.9911,1.5068,0.7438,3.0385
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,8.2128,1.3603,0.7463,2.9151
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,8.4907,1.3837,0.7436,2.9874
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,9.0138,1.4535,0.7327,2.7759
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,9.355,1.4551,0.7344,2.6824
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,8.1516,1.3599,0.753,2.9453
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,9.2019,1.438,0.7614,3.0188
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,9.2057,1.4644,0.7732,2.603
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,9.4495,1.522,0.7416,3.0489
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,7.4804,1.537,0.7415,3.2622
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,8.0732,1.5133,0.7476,3.3945
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,8.2483,1.4599,0.7474,3.5776
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,8.8085,1.4372,0.7352,3.3579
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,9.2662,1.4969,0.7375,3.2297
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,8.6799,1.4884,0.7324,3.1525
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,9.2236,1.5602,0.7647,2.9029
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,9.3094,1.5208,0.7477,2.9116
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,8.6334,1.3942,0.7591,2.6533
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,7.3732,1.4932,0.7191,3.3512
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,7.2946,1.3391,0.7512,3.4289
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,7.5416,1.392,0.7412,3.2337
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,8.4972,1.5207,0.753,3.3534
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,8.3656,1.4227,0.7475,3.0813
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,9.0802,1.4856,0.7409,3.3829
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,9.0716,1.5396,0.7282,3.2663
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,8.9828,1.5685,0.7497,2.9828
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,9.5167,1.458,0.749,2.9756
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,8.4373,1.4271,0.7539,2.8971
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,8.6742,1.4054,0.7495,2.6536
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,8.8981,1.4393,0.7568,3.0413
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,9.052,1.417,0.7433,2.9497
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,8.9811,1.484,0.7381,3.0263
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,9.4207,1.4529,0.7449,3.2944
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,8.7631,1.4683,0.7709,2.8849
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,9.3802,1.4721,0.7443,2.74
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,9.498,1.59,0.7363,2.7475
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,8.2212,1.5047,0.7368,3.3509
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,7.8466,1.4809,0.7324,3.4357
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,7.7314,1.4026,0.7166,3.3385
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,9.0757,1.5267,0.7535,3.384
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,8.9284,1.4725,0.7526,3.2371
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,8.606,1.4001,0.7359,3.1655
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,8.8825,1.5144,0.7524,2.6047
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,9.9195,1.5797,0.7522,3.0427
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,9.1405,1.5425,0.7483,2.6681
mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,7.2842,1.4238,0.7196,3.2775
mband_log_N4_F25_O25_FL0p7,log,4,25,25,0.7,1,7.7833,1.4477,0.7249,3.6215
mband_log_N4_F25_O25_FL0p8,log,4,25,25,0.8,1,7.4275,1.4188,0.7265,3.491
mband_log_N4_F25_O50_FL0p5,log,4,25,50,0.5,1,8.7611,1.495,0.7373,3.3698
mband_log_N4_F25_O50_FL0p7,log,4,25,50,0.7,1,8.0993,1.4981,0.7339,3.1067
mband_log_N4_F25_O50_FL0p8,log,4,25,50,0.8,1,8.6893,1.4932,0.738,3.0339
mband_log_N4_F25_O75_FL0p5,log,4,25,75,0.5,1,9.4078,1.5182,0.7548,2.9937
mband_log_N4_F25_O75_FL0p7,log,4,25,75,0.7,1,8.8396,1.4292,0.725,2.9106
mband_log_N4_F25_O75_FL0p8,log,4,25,75,0.8,1,9.3057,1.4805,0.7256,2.9976
mband_log_N4_F8_O25_FL0p5,log,4,8,25,0.5,1,8.3816,1.4475,0.7361,2.9306
mband_log_N4_F8_O25_FL0p7,log,4,8,25,0.7,1,9.1973,1.4546,0.7477,2.7544
mband_log_N4_F8_O25_FL0p8,log,4,8,25,0.8,1,8.8186,1.4016,0.7452,3.2059
mband_log_N4_F8_O50_FL0p5,log,4,8,50,0.5,1,8.2327,1.4578,0.7458,2.7723
mband_log_N4_F8_O50_FL0p7,log,4,8,50,0.7,1,8.2746,1.4121,0.7333,2.8985
mband_log_N4_F8_O50_FL0p8,log,4,8,50,0.8,1,9.6394,1.4649,0.7415,3.0525
mband_log_N4_F8_O75_FL0p5,log,4,8,75,0.5,1,9.4314,1.4748,0.7587,2.5633
mband_log_N4_F8_O75_FL0p7,log,4,8,75,0.7,1,9.4475,1.461,0.7498,3.0299
mband_log_N4_F8_O75_FL0p8,log,4,8,75,0.8,1,8.6896,1.46,0.7483,3.1518
mband_log_N8_F20_O25_FL0p5,log,8,20,25,0.5,1,7.6531,1.4442,0.7457,3.33
mband_log_N8_F20_O25_FL0p7,log,8,20,25,0.7,1,7.8983,1.4267,0.7401,3.2826
mband_log_N8_F20_O25_FL0p8,log,8,20,25,0.8,1,7.9792,1.4169,0.7276,3.0901
mband_log_N8_F20_O50_FL0p5,log,8,20,50,0.5,1,8.5156,1.5327,0.7379,3.2056
mband_log_N8_F20_O50_FL0p7,log,8,20,50,0.7,1,9.1121,1.5087,0.743,3.3564
mband_log_N8_F20_O50_FL0p8,log,8,20,50,0.8,1,8.9812,1.4218,0.7417,3.2352
mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,1,9.1304,1.5246,0.7369,3.0137
mband_log_N8_F20_O75_FL0p7,log,8,20,75,0.7,1,8.9067,1.4312,0.7418,3.0708
mband_log_N8_F20_O75_FL0p8,log,8,20,75,0.8,1,9.0981,1.443,0.7311,2.7745
mband_log_N8_F25_O25_FL0p5,log,8,25,25,0.5,1,7.1775,1.4108,0.7176,3.3934
mband_log_N8_F25_O25_FL0p7,log,8,25,25,0.7,1,7.821,1.4596,0.746,3.4013
mband_log_N8_F25_O25_FL0p8,log,8,25,25,0.8,1,7.4816,1.3924,0.7356,3.2908
mband_log_N8_F25_O50_FL0p5,log,8,25,50,0.5,1,8.4973,1.4711,0.7615,3.4168
mband_log_N8_F25_O50_FL0p7,log,8,25,50,0.7,1,8.5728,1.429,0.7485,3.6362
mband_log_N8_F25_O50_FL0p8,log,8,25,50,0.8,1,8.6604,1.5621,0.7574,2.9678
mband_log_N8_F25_O75_FL0p5,log,8,25,75,0.5,1,8.6076,1.3525,0.7379,3.0096
mband_log_N8_F25_O75_FL0p7,log,8,25,75,0.7,1,9.4571,1.4981,0.74,3.1074
mband_log_N8_F25_O75_FL0p8,log,8,25,75,0.8,1,9.1921,1.4281,0.7483,3.0444
mband_log_N8_F8_O25_FL0p5,log,8,8,25,0.5,1,8.7315,1.5557,0.7449,3.1229
mband_log_N8_F8_O25_FL0p7,log,8,8,25,0.7,1,8.8883,1.4866,0.7477,2.8911
mband_log_N8_F8_O25_FL0p8,log,8,8,25,0.8,1,8.487,1.4046,0.7662,2.7093
mband_log_N8_F8_O50_FL0p5,log,8,8,50,0.5,1,8.9852,1.4283,0.7476,2.9753
mband_log_N8_F8_O50_FL0p7,log,8,8,50,0.7,1,8.7656,1.4333,0.7205,3.1183
mband_log_N8_F8_O50_FL0p8,log,8,8,50,0.8,1,9.1668,1.436,0.7493,3.2237
mband_log_N8_F8_O75_FL0p5,log,8,8,75,0.5,1,8.9772,1.4648,0.7448,2.7896
mband_log_N8_F8_O75_FL0p7,log,8,8,75,0.7,1,8.9553,1.4362,0.7518,2.8919
mband_log_N8_F8_O75_FL0p8,log,8,8,75,0.8,1,8.905,1.406,0.7568,2.7793
mband_mel_N16_F20_O25_FL0p5,mel,16,20,25,0.5,1,7.5932,1.5247,0.7417,3.1518
mband_mel_N16_F20_O25_FL0p7,mel,16,20,25,0.7,1,8.057,1.4479,0.7321,3.2609
mband_mel_N16_F20_O25_FL0p8,mel,16,20,25,0.8,1,8.1647,1.4192,0.7473,3.3912
mband_mel_N16_F20_O50_FL0p5,mel,16,20,50,0.5,1,9.0547,1.5057,0.7232,3.2732
mband_mel_N16_F20_O50_FL0p7,mel,16,20,50,0.7,1,8.9803,1.5883,0.7304,3.0835
mband_mel_N16_F20_O50_FL0p8,mel,16,20,50,0.8,1,8.9207,1.3928,0.7444,3.418
mband_mel_N16_F20_O75_FL0p5,mel,16,20,75,0.5,1,9.0884,1.4848,0.7428,3.0148
mband_mel_N16_F20_O75_FL0p7,mel,16,20,75,0.7,1,9.3835,1.4647,0.7395,2.6573
mband_mel_N16_F20_O75_FL0p8,mel,16,20,75,0.8,1,9.4037,1.4537,0.7371,3.1406
mband_mel_N16_F25_O25_FL0p5,mel,16,25,25,0.5,1,7.2159,1.3788,0.7504,3.3126
mband_mel_N16_F25_O25_FL0p7,mel,16,25,25,0.7,1,7.6056,1.4494,0.7576,3.1032
mband_mel_N16_F25_O25_FL0p8,mel,16,25,25,0.8,1,7.2556,1.3217,0.7436,3.3672
mband_mel_N16_F25_O50_FL0p5,mel,16,25,50,0.5,1,8.2928,1.5312,0.7369,3.522
mband_mel_N16_F25_O50_FL0p7,mel,16,25,50,0.7,1,8.8048,1.455,0.7501,3.2535
mband_mel_N16_F25_O50_FL0p8,mel,16,25,50,0.8,1,8.5045,1.4037,0.722,3.314
mband_mel_N16_F25_O75_FL0p5,mel,16,25,75,0.5,1,9.4853,1.4135,0.7581,2.9988
mband_mel_N16_F25_O75_FL0p7,mel,16,25,75,0.7,1,9.3607,1.5331,0.7421,3.3485
mband_mel_N16_F25_O75_FL0p8,mel,16,25,75,0.8,1,9.4196,1.4569,0.7482,2.8681
mband_mel_N16_F8_O25_FL0p5,mel,16,8,25,0.5,1,8.9951,1.4393,0.7335,3.2607
mband_mel_N16_F8_O25_FL0p7,mel,16,8,25,0.7,1,9.0731,1.4703,0.7326,3.1425
mband_mel_N16_F8_O25_FL0p8,mel,16,8,25,0.8,1,8.5547,1.4332,0.7433,3.143
mband_mel_N16_F8_O50_FL0p5,mel,16,8,50,0.5,1,8.5871,1.4424,0.758,2.9419
mband_mel_N16_F8_O50_FL0p7,mel,16,8,50,0.7,1,9.0987,1.4284,0.728,3.0986
mband_mel_N16_F8_O50_FL0p8,mel,16,8,50,0.8,1,9.0993,1.4473,0.7583,3.3856
mband_mel_N16_F8_O75_FL0p5,mel,16,8,75,0.5,1,9.5051,1.4801,0.7467,3.0337
mband_mel_N16_F8_O75_FL0p7,mel,16,8,75,0.7,1,9.0624,1.4242,0.7436,3.0264
mband_mel_N16_F8_O75_FL0p8,mel,16,8,75,0.8,1,9.457,1.5479,0.7485,2.6995
mband_mel_N4_F20_O25_FL0p5,mel,4,20,25,0.5,1,7.6605,1.4462,0.7215,3.1344
mband_mel_N4_F20_O25_FL0p7,mel,4,20,25,0.7,1,7.6086,1.4824,0.7343,3.3235
mband_mel_N4_F20_O25_FL0p8,mel,4,20,25,0.8,1,8.0838,1.4338,0.7475,2.986
mband_mel_N4_F20_O50_FL0p5,mel,4,20,50,0.5,1,8.8047,1.4861,0.7338,3.112
mband_mel_N4_F20_O50_FL0p7,mel,4,20,50,0.7,1,9.2326,1.4993,0.7536,2.9374
mband_mel_N4_F20_O50_FL0p8,mel,4,20,50,0.8,1,8.9055,1.5141,0.7388,3.4554
mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,1,9.0424,1.5623,0.7555,3.0551
mband_mel_N4_F20_O75_FL0p7,mel,4,20,75,0.7,1,9.3035,1.4592,0.7396,2.8467
mband_mel_N4_F20_O75_FL0p8,mel,4,20,75,0.8,1,9.4921,1.5052,0.7404,2.6225
mband_mel_N4_F25_O25_FL0p5,mel,4,25,25,0.5,1,7.0807,1.4714,0.7183,3.4707
mband_mel_N4_F25_O25_FL0p7,mel,4,25,25,0.7,1,7.4982,1.5052,0.7333,3.1121
mband_mel_N4_F25_O25_FL0p8,mel,4,25,25,0.8,1,7.281,1.4139,0.744,3.2136
mband_mel_N4_F25_O50_FL0p5,mel,4,25,50,0.5,1,8.5596,1.4448,0.7614,3.0089
mband_mel_N4_F25_O50_FL0p7,mel,4,25,50,0.7,1,8.5361,1.4405,0.7324,3.1688
mband_mel_N4_F25_O50_FL0p8,mel,4,25,50,0.8,1,9.0137,1.4638,0.7402,3.282
mband_mel_N4_F25_O75_FL0p5,mel,4,25,75,0.5,1,9.315,1.4894,0.7414,3.2097
mband_mel_N4_F25_O75_FL0p7,mel,4,25,75,0.7,1,9.3013,1.4449,0.7307,2.953
mband_mel_N4_F25_O75_FL0p8,mel,4,25,75,0.8,1,9.0412,1.4934,0.7398,3.3607
mband_mel_N4_F8_O25_FL0p5,mel,4,8,25,0.5,1,8.7754,1.4902,0.7548,2.9342
mband_mel_N4_F8_O25_FL0p7,mel,4,8,25,0.7,1,8.904,1.454,0.7521,3.1773
mband_mel_N4_F8_O25_FL0p8,mel,4,8,25,0.8,1,8.6891,1.4275,0.7329,3.129
mband_mel_N4_F8_O50_FL0p5,mel,4,8,50,0.5,1,8.5557,1.4788,0.7425,2.9099
mband_mel_N4_F8_O50_FL0p7,mel,4,8,50,0.7,1,9.1851,1.4512,0.7377,2.7883
mband_mel_N4_F8_O50_FL0p8,mel,4,8,50,0.8,1,8.9895,1.4635,0.7313,3.3987
mband_mel_N4_F8_O75_FL0p5,mel,4,8,75,0.5,1,9.6578,1.432,0.7402,2.8354
mband_mel_N4_F8_O75_FL0p7,mel,4,8,75,0.7,1,8.8788,1.3879,0.7389,2.9765
mband_mel_N4_F8_O75_FL0p8,mel,4,8,75,0.8,1,9.6277,1.4241,0.7436,3.2334
mband_mel_N8_F20_O25_FL0p5,mel,8,20,25,0.5,1,7.9357,1.4655,0.7513,3.2269
mband_mel_N8_F20_O25_FL0p7,mel,8,20,25,0.7,1,7.7191,1.3497,0.7412,3.1724
mband_mel_N8_F20_O25_FL0p8,mel,8,20,25,0.8,1,7.8465,1.4388,0.7364,3.0113
mband_mel_N8_F20_O50_FL0p5,mel,8,20,50,0.5,1,8.3788,1.5119,0.7501,3.0717
mband_mel_N8_F20_O50_FL0p7,mel,8,20,50,0.7,1,9.1465,1.4403,0.7523,3.2139
mband_mel_N8_F20_O50_FL0p8,mel,8,20,50,0.8,1,8.942,1.4702,0.7541,3.3336
mband_mel_N8_F20_O75_FL0p5,mel,8,20,75,0.5,1,8.6075,1.514,0.7254,2.993
mband_mel_N8_F20_O75_FL0p7,mel,8,20,75,0.7,1,9.2425,1.3962,0.7309,3.0178
mband_mel_N8_F20_O75_FL0p8,mel,8,20,75,0.8,1,9.1369,1.5509,0.7278,3.0138
mband_mel_N8_F25_O25_FL0p5,mel,8,25,25,0.5,1,7.6541,1.4369,0.7343,3.2357
mband_mel_N8_F25_O25_FL0p7,mel,8,25,25,0.7,1,7.526,1.3948,0.7397,3.3442
mband_mel_N8_F25_O25_FL0p8,mel,8,25,25,0.8,1,7.2652,1.356,0.7554,3.3539
mband_mel_N8_F25_O50_FL0p5,mel,8,25,50,0.5,1,8.6403,1.5082,0.7611,3.4913
mband_mel_N8_F25_O50_FL0p7,mel,8,25,50,0.7,1,8.9816,1.5283,0.7319,3.4985
mband_mel_N8_F25_O50_FL0p8,mel,8,25,50,0.8,1,8.3786,1.3987,0.7145,3.4468
mband_mel_N8_F25_O75_FL0p5,mel,8,25,75,0.5,1,9.298,1.4489,0.7682,3.1883
mband_mel_N8_F25_O75_FL0p7,mel,8,25,75,0.7,1,9.1901,1.505,0.7435,2.8215
mband_mel_N8_F25_O75_FL0p8,mel,8,25,75,0.8,1,9.6307,1.4731,0.7387,3.1436
mband_mel_N8_F8_O25_FL0p5,mel,8,8,25,0.5,1,8.2657,1.4735,0.7394,2.984
mband_mel_N8_F8_O25_FL0p7,mel,8,8,25,0.7,1,8.7311,1.4248,0.748,3.2498
mband_mel_N8_F8_O25_FL0p8,mel,8,8,25,0.8,1,8.508,1.3981,0.7327,3.2782
mband_mel_N8_F8_O50_FL0p5,mel,8,8,50,0.5,1,9.0178,1.4546,0.7321,2.6428
mband_mel_N8_F8_O50_FL0p7,mel,8,8,50,0.7,1,9.2825,1.5193,0.7558,2.8697
mband_mel_N8_F8_O50_FL0p8,mel,8,8,50,0.8,1,8.9285,1.3903,0.725,3.0539
mband_mel_N8_F8_O75_FL0p5,mel,8,8,75,0.5,1,9.6162,1.5624,0.7506,2.5847
mband_mel_N8_F8_O75_FL0p7,mel,8,8,75,0.7,1,9.2444,1.4168,0.7452,2.8743
mband_mel_N8_F8_O75_FL0p8,mel,8,8,75,0.8,1,9.4084,1.474,0.7556,2.5957
