Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,STOI,PESQ,SI_SDR,DNSMOS_mos_ovr
mband_mel_N16_F20_O75_FL0p7,mel,16,20,75,0.7,1,0.7395,1.4647,9.3835,2.6573
mband_mel_N16_F20_O75_FL0p8,mel,16,20,75,0.8,1,0.7371,1.4537,9.4037,3.1406
mband_mel_N16_F25_O25_FL0p5,mel,16,25,25,0.5,1,0.7504,1.3788,7.2159,3.3126
mband_mel_N16_F25_O25_FL0p7,mel,16,25,25,0.7,1,0.7576,1.4494,7.6056,3.1032
mband_mel_N16_F25_O25_FL0p8,mel,16,25,25,0.8,1,0.7436,1.3217,7.2556,3.3672
mband_mel_N16_F25_O50_FL0p5,mel,16,25,50,0.5,1,0.7369,1.5312,8.2928,3.522
mband_mel_N16_F25_O50_FL0p7,mel,16,25,50,0.7,1,0.7501,1.455,8.8048,3.2535
mband_mel_N16_F25_O50_FL0p8,mel,16,25,50,0.8,1,0.722,1.4037,8.5045,3.314
mband_mel_N16_F25_O75_FL0p5,mel,16,25,75,0.5,1,0.7581,1.4135,9.4853,2.9988
mband_mel_N16_F25_O75_FL0p7,mel,16,25,75,0.7,1,0.7421,1.5331,9.3607,3.3485
mband_mel_N16_F25_O75_FL0p8,mel,16,25,75,0.8,1,0.7482,1.4569,9.4196,2.8681
mband_mel_N16_F8_O25_FL0p5,mel,16,8,25,0.5,1,0.7335,1.4393,8.9951,3.2607
mband_mel_N16_F8_O25_FL0p7,mel,16,8,25,0.7,1,0.7326,1.4703,9.0731,3.1425
mband_mel_N16_F8_O25_FL0p8,mel,16,8,25,0.8,1,0.7433,1.4332,8.5547,3.143
mband_mel_N16_F8_O50_FL0p5,mel,16,8,50,0.5,1,0.758,1.4424,8.5871,2.9419
mband_mel_N16_F8_O50_FL0p7,mel,16,8,50,0.7,1,0.728,1.4284,9.0987,3.0986
mband_mel_N16_F8_O50_FL0p8,mel,16,8,50,0.8,1,0.7583,1.4473,9.0993,3.3856
mband_mel_N16_F8_O75_FL0p5,mel,16,8,75,0.5,1,0.7467,1.4801,9.5051,3.0337
mband_mel_N16_F8_O75_FL0p7,mel,16,8,75,0.7,1,0.7436,1.4242,9.0624,3.0264
mband_mel_N16_F8_O75_FL0p8,mel,16,8,75,0.8,1,0.7485,1.5479,9.457,2.6995
mband_mel_N4_F20_O25_FL0p5,mel,4,20,25,0.5,1,0.7215,1.4462,7.6605,3.1344
mband_mel_N4_F20_O25_FL0p7,mel,4,20,25,0.7,1,0.7343,1.4824,7.6086,3.3235
mband_mel_N4_F20_O25_FL0p8,mel,4,20,25,0.8,1,0.7475,1.4338,8.0838,2.986
mband_mel_N4_F20_O50_FL0p5,mel,4,20,50,0.5,1,0.7338,1.4861,8.8047,3.112
mband_mel_N4_F20_O50_FL0p7,mel,4,20,50,0.7,1,0.7536,1.4993,9.2326,2.9374
mband_mel_N4_F20_O50_FL0p8,mel,4,20,50,0.8,1,0.7388,1.5141,8.9055,3.4554
mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,1,0.7555,1.5623,9.0424,3.0551
mband_mel_N4_F20_O75_FL0p7,mel,4,20,75,0.7,1,0.7396,1.4592,9.3035,2.8467
mband_mel_N4_F20_O75_FL0p8,mel,4,20,75,0.8,1,0.7404,1.5052,9.4921,2.6225
mband_mel_N4_F25_O25_FL0p5,mel,4,25,25,0.5,1,0.7183,1.4714,7.0807,3.4707
mband_mel_N4_F25_O25_FL0p7,mel,4,25,25,0.7,1,0.7333,1.5052,7.4982,3.1121
mband_mel_N4_F25_O25_FL0p8,mel,4,25,25,0.8,1,0.744,1.4139,7.281,3.2136
mband_mel_N4_F25_O50_FL0p5,mel,4,25,50,0.5,1,0.7614,1.4448,8.5596,3.0089
mband_mel_N4_F25_O50_FL0p7,mel,4,25,50,0.7,1,0.7324,1.4405,8.5361,3.1688
mband_mel_N4_F25_O50_FL0p8,mel,4,25,50,0.8,1,0.7402,1.4638,9.0137,3.282
mband_mel_N4_F25_O75_FL0p5,mel,4,25,75,0.5,1,0.7414,1.4894,9.315,3.2097
mband_mel_N4_F25_O75_FL0p7,mel,4,25,75,0.7,1,0.7307,1.4449,9.3013,2.953
mband_mel_N4_F25_O75_FL0p8,mel,4,25,75,0.8,1,0.7398,1.4934,9.0412,3.3607
mband_mel_N4_F8_O25_FL0p5,mel,4,8,25,0.5,1,0.7548,1.4902,8.7754,2.9342
mband_mel_N4_F8_O25_FL0p7,mel,4,8,25,0.7,1,0.7521,1.454,8.904,3.1773
mband_mel_N4_F8_O25_FL0p8,mel,4,8,25,0.8,1,0.7329,1.4275,8.6891,3.129
mband_mel_N4_F8_O50_FL0p5,mel,4,8,50,0.5,1,0.7425,1.4788,8.5557,2.9099
mband_mel_N4_F8_O50_FL0p7,mel,4,8,50,0.7,1,0.7377,1.4512,9.1851,2.7883
mband_mel_N4_F8_O50_FL0p8,mel,4,8,50,0.8,1,0.7313,1.4635,8.9895,3.3987
mband_mel_N4_F8_O75_FL0p5,mel,4,8,75,0.5,1,0.7402,1.432,9.6578,2.8354
mband_mel_N4_F8_O75_FL0p7,mel,4,8,75,0.7,1,0.7389,1.3879,8.8788,2.9765
mband_mel_N4_F8_O75_FL0p8,mel,4,8,75,0.8,1,0.7436,1.4241,9.6277,3.2334
mband_mel_N8_F20_O25_FL0p5,mel,8,20,25,0.5,1,0.7513,1.4655,7.9357,3.2269
mband_mel_N8_F20_O25_FL0p7,mel,8,20,25,0.7,1,0.7412,1.3497,7.7191,3.1724
mband_mel_N8_F20_O25_FL0p8,mel,8,20,25,0.8,1,0.7364,1.4388,7.8465,3.0113
mband_mel_N8_F20_O50_FL0p5,mel,8,20,50,0.5,1,0.7501,1.5119,8.3788,3.0717
mband_mel_N8_F20_O50_FL0p7,mel,8,20,50,0.7,1,0.7523,1.4403,9.1465,3.2139
mband_mel_N8_F20_O50_FL0p8,mel,8,20,50,0.8,1,0.7541,1.4702,8.942,3.3336
mband_mel_N8_F20_O75_FL0p5,mel,8,20,75,0.5,1,0.7254,1.514,8.6075,2.993
mband_mel_N8_F20_O75_FL0p7,mel,8,20,75,0.7,1,0.7309,1.3962,9.2425,3.0178
mband_mel_N8_F20_O75_FL0p8,mel,8,20,75,0.8,1,0.7278,1.5509,9.1369,3.0138
mband_mel_N8_F25_O25_FL0p5,mel,8,25,25,0.5,1,0.7343,1.4369,7.6541,3.2357
mband_mel_N8_F25_O25_FL0p7,mel,8,25,25,0.7,1,0.7397,1.3948,7.526,3.3442
mband_mel_N8_F25_O25_FL0p8,mel,8,25,25,0.8,1,0.7554,1.356,7.2652,3.3539
mband_mel_N8_F25_O50_FL0p5,mel,8,25,50,0.5,1,0.7611,1.5082,8.6403,3.4913
mband_mel_N8_F25_O50_FL0p7,mel,8,25,50,0.7,1,0.7319,1.5283,8.9816,3.4985
mband_mel_N8_F25_O50_FL0p8,mel,8,25,50,0.8,1,0.7145,1.3987,8.3786,3.4468
mband_mel_N8_F25_O75_FL0p5,mel,8,25,75,0.5,1,0.7682,1.4489,9.298,3.1883
mband_mel_N8_F25_O75_FL0p7,mel,8,25,75,0.7,1,0.7435,1.505,9.1901,2.8215
mband_mel_N8_F25_O75_FL0p8,mel,8,25,75,0.8,1,0.7387,1.4731,9.6307,3.1436
mband_mel_N8_F8_O25_FL0p5,mel,8,8,25,0.5,1,0.7394,1.4735,8.2657,2.984
mband_mel_N8_F8_O25_FL0p7,mel,8,8,25,0.7,1,0.748,1.4248,8.7311,3.2498
mband_mel_N8_F8_O25_FL0p8,mel,8,8,25,0.8,1,0.7327,1.3981,8.508,3.2782
mband_mel_N8_F8_O50_FL0p5,mel,8,8,50,0.5,1,0.7321,1.4546,9.0178,2.6428
mband_mel_N8_F8_O50_FL0p7,mel,8,8,50,0.7,1,0.7558,1.5193,9.2825,2.8697
mband_mel_N8_F8_O50_FL0p8,mel,8,8,50,0.8,1,0.725,1.3903,8.9285,3.0539
mband_mel_N8_F8_O75_FL0p5,mel,8,8,75,0.5,1,0.7506,1.5624,9.6162,2.5847
mband_mel_N8_F8_O75_FL0p7,mel,8,8,75,0.7,1,0.7452,1.4168,9.2444,2.8743
mband_mel_N8_F8_O75_FL0p8,mel,8,8,75,0.8,1,0.7556,1.474,9.4084,2.5957
