Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N16_F8_O50_FL0p3,linear,16,8,50,0.3,1,0.5194,0.6441,0.5818,1.8345,0.7445,11.4354,3.2205
mband_linear_N16_F8_O50_FL0p5,linear,16,8,50,0.5,1,0.5224,0.6473,0.5849,1.8531,0.7437,11.4694,3.2365
mband_linear_N16_F8_O50_FL0p7,linear,16,8,50,0.7,1,0.5234,0.6565,0.5899,1.861,0.7433,11.3799,3.2825
mband_linear_N16_F8_O50_FL0p8,linear,16,8,50,0.8,1,0.5218,0.6403,0.581,1.8494,0.7458,11.4002,3.2013
mband_linear_N16_F8_O75_FL0p001,linear,16,8,75,0.001,1,0.5165,0.6318,0.5741,1.8203,0.7373,11.4434,3.1588
mband_linear_N16_F8_O75_FL0p3,linear,16,8,75,0.3,1,0.5248,0.6225,0.5737,1.8629,0.7432,11.7336,3.1125
mband_linear_N16_F8_O75_FL0p5,linear,16,8,75,0.5,1,0.525,0.6275,0.5762,1.8627,0.744,11.7769,3.1373
mband_linear_N16_F8_O75_FL0p7,linear,16,8,75,0.7,1,0.5244,0.6211,0.5727,1.8618,0.7458,11.5659,3.1057
mband_linear_N16_F8_O75_FL0p8,linear,16,8,75,0.8,1,0.5258,0.6333,0.5795,1.862,0.7469,11.9433,3.1665
mband_linear_N4_F20_O25_FL0p001,linear,4,20,25,0.001,1,0.4758,0.6978,0.5868,1.6349,0.7288,8.4055,3.4888
mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,1,0.4869,0.7104,0.5986,1.6871,0.7384,8.932,3.552
mband_linear_N4_F20_O25_FL0p5,linear,4,20,25,0.5,1,0.4871,0.7088,0.598,1.6898,0.734,9.0016,3.5441
mband_linear_N4_F20_O25_FL0p7,linear,4,20,25,0.7,1,0.4894,0.687,0.5882,1.7065,0.7329,8.9044,3.435
mband_linear_N4_F20_O25_FL0p8,linear,4,20,25,0.8,1,0.4916,0.6954,0.5935,1.7118,0.7401,9.1191,3.4771
mband_linear_N4_F20_O50_FL0p001,linear,4,20,50,0.001,1,0.5081,0.6859,0.597,1.7963,0.7356,10.143,3.4293
mband_linear_N4_F20_O50_FL0p3,linear,4,20,50,0.3,1,0.5157,0.6996,0.6076,1.8315,0.7435,10.489,3.498
mband_linear_N4_F20_O50_FL0p5,linear,4,20,50,0.5,1,0.5197,0.6805,0.6001,1.8567,0.7392,10.6131,3.4027
mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,0.5244,0.6815,0.6029,1.8745,0.7499,10.8345,3.4076
mband_linear_N4_F20_O50_FL0p8,linear,4,20,50,0.8,1,0.5191,0.6903,0.6047,1.8494,0.7452,10.6051,3.4517
mband_linear_N4_F20_O75_FL0p001,linear,4,20,75,0.001,1,0.5203,0.6254,0.5729,1.8511,0.7456,10.8731,3.1269
mband_linear_N4_F20_O75_FL0p3,linear,4,20,75,0.3,1,0.5299,0.6446,0.5872,1.8929,0.7505,11.5853,3.2231
mband_linear_N4_F20_O75_FL0p5,linear,4,20,75,0.5,1,0.531,0.6472,0.5891,1.8981,0.7519,11.6282,3.2361
mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,0.5325,0.6512,0.5919,1.9028,0.7485,11.9557,3.2562
mband_linear_N4_F20_O75_FL0p8,linear,4,20,75,0.8,1,0.5311,0.6449,0.588,1.8981,0.7505,11.6947,3.2245
mband_linear_N4_F25_O25_FL0p001,linear,4,25,25,0.001,1,0.468,0.6786,0.5733,1.5961,0.7283,7.9259,3.3931
mband_linear_N4_F25_O25_FL0p3,linear,4,25,25,0.3,1,0.4735,0.7002,0.5869,1.624,0.7312,8.1569,3.5011
mband_linear_N4_F25_O25_FL0p5,linear,4,25,25,0.5,1,0.4761,0.7036,0.5898,1.6345,0.7344,8.3298,3.5178
mband_linear_N4_F25_O25_FL0p7,linear,4,25,25,0.7,1,0.4783,0.7,0.5891,1.6474,0.7337,8.4113,3.4998
mband_linear_N4_F25_O25_FL0p8,linear,4,25,25,0.8,1,0.4798,0.7001,0.5899,1.657,0.7334,8.4081,3.5003
mband_linear_N4_F25_O50_FL0p001,linear,4,25,50,0.001,1,0.5016,0.6861,0.5939,1.7654,0.7338,9.7375,3.4305
mband_linear_N4_F25_O50_FL0p3,linear,4,25,50,0.3,1,0.5059,0.6899,0.5979,1.7848,0.7387,9.9505,3.4493
mband_linear_N4_F25_O50_FL0p5,linear,4,25,50,0.5,1,0.5111,0.6843,0.5977,1.8115,0.7395,10.1876,3.4214
mband_linear_N4_F25_O50_FL0p7,linear,4,25,50,0.7,1,0.5112,0.6827,0.597,1.8099,0.7451,10.1453,3.4135
mband_linear_N4_F25_O50_FL0p8,linear,4,25,50,0.8,1,0.5115,0.6817,0.5966,1.808,0.7439,10.3398,3.4086
mband_linear_N4_F25_O75_FL0p001,linear,4,25,75,0.001,1,0.5177,0.6352,0.5765,1.8418,0.7353,10.848,3.1761
mband_linear_N4_F25_O75_FL0p3,linear,4,25,75,0.3,1,0.5239,0.6495,0.5867,1.8654,0.7457,11.272,3.2474
mband_linear_N4_F25_O75_FL0p5,linear,4,25,75,0.5,1,0.5242,0.6575,0.5909,1.8622,0.7461,11.5055,3.2876
mband_linear_N4_F25_O75_FL0p7,linear,4,25,75,0.7,1,0.5262,0.6356,0.5809,1.8748,0.7475,11.4584,3.1782
mband_linear_N4_F25_O75_FL0p8,linear,4,25,75,0.8,1,0.5261,0.6454,0.5858,1.8717,0.7489,11.5247,3.2271
mband_linear_N4_F8_O25_FL0p001,linear,4,8,25,0.001,1,0.4848,0.6411,0.563,1.6518,0.7347,10.1204,3.2054
mband_linear_N4_F8_O25_FL0p3,linear,4,8,25,0.3,1,0.4945,0.6224,0.5585,1.7066,0.7351,10.3853,3.112
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,0.4993,0.6256,0.5625,1.7245,0.7442,10.6743,3.1282
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,0.4975,0.6186,0.558,1.7187,0.7376,10.6163,3.093
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,0.4991,0.634,0.5665,1.7222,0.7441,10.7439,3.1699
mband_linear_N4_F8_O50_FL0p001,linear,4,8,50,0.001,1,0.5111,0.6477,0.5794,1.8,0.7311,10.9915,3.2387
mband_linear_N4_F8_O50_FL0p3,linear,4,8,50,0.3,1,0.5203,0.6317,0.576,1.848,0.7382,11.2312,3.1585
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,0.5194,0.6389,0.5792,1.842,0.7401,11.2121,3.1944
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,0.5198,0.6419,0.5808,1.8437,0.7391,11.2778,3.2094
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,0.5247,0.6303,0.5775,1.8646,0.7419,11.6499,3.1514
mband_linear_N4_F8_O75_FL0p001,linear,4,8,75,0.001,1,0.5177,0.6305,0.5741,1.833,0.7335,11.3262,3.1525
mband_linear_N4_F8_O75_FL0p3,linear,4,8,75,0.3,1,0.5279,0.6192,0.5735,1.8804,0.7441,11.7773,3.096
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,0.5269,0.6382,0.5826,1.8755,0.7444,11.7181,3.1911
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,0.5277,0.6363,0.582,1.8738,0.747,11.9622,3.1816
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,0.5292,0.6294,0.5793,1.8848,0.7447,11.9333,3.1471
mband_linear_N8_F20_O25_FL0p001,linear,8,20,25,0.001,1,0.4773,0.6935,0.5854,1.6397,0.7276,8.6428,3.4675
mband_linear_N8_F20_O25_FL0p3,linear,8,20,25,0.3,1,0.4863,0.6934,0.5899,1.6835,0.7378,8.9473,3.467
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,0.4884,0.6787,0.5836,1.6954,0.7398,8.9466,3.3936
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,0.4883,0.6786,0.5834,1.6967,0.7356,8.9668,3.3928
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,0.4903,0.6856,0.5879,1.7045,0.7409,9.0373,3.4279
mband_linear_N8_F20_O50_FL0p001,linear,8,20,50,0.001,1,0.5088,0.6742,0.5915,1.803,0.7381,9.9651,3.3711
mband_linear_N8_F20_O50_FL0p3,linear,8,20,50,0.3,1,0.5157,0.6783,0.597,1.8284,0.7454,10.5949,3.3914
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,0.5179,0.6904,0.6042,1.8437,0.7407,10.6467,3.4522
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,0.519,0.6768,0.5979,1.8507,0.7414,10.63,3.3838
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,0.5192,0.6796,0.5994,1.8489,0.746,10.639,3.398
mband_linear_N8_F20_O75_FL0p001,linear,8,20,75,0.001,1,0.5192,0.6258,0.5725,1.8451,0.741,10.9551,3.1291
mband_linear_N8_F20_O75_FL0p3,linear,8,20,75,0.3,1,0.5271,0.644,0.5856,1.8782,0.7468,11.5718,3.2201
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,0.529,0.6311,0.58,1.8881,0.7445,11.7241,3.1555
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,0.5317,0.6425,0.5871,1.9012,0.751,11.724,3.2125
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,0.531,0.6338,0.5824,1.8991,0.7471,11.7232,3.1688
mband_linear_N8_F25_O25_FL0p001,linear,8,25,25,0.001,1,0.4664,0.7069,0.5866,1.5867,0.7242,8.0323,3.5343
mband_linear_N8_F25_O25_FL0p3,linear,8,25,25,0.3,1,0.4743,0.7049,0.5896,1.6299,0.7316,8.1082,3.5244
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,0.4762,0.687,0.5816,1.641,0.7299,8.211,3.4351
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,0.4771,0.6957,0.5864,1.6414,0.7332,8.3325,3.4785
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,0.4803,0.6914,0.5858,1.6583,0.7368,8.3841,3.4569
mband_linear_N8_F25_O50_FL0p001,linear,8,25,50,0.001,1,0.4974,0.6832,0.5903,1.7424,0.7321,9.6224,3.4161
mband_linear_N8_F25_O50_FL0p3,linear,8,25,50,0.3,1,0.5094,0.6846,0.597,1.8014,0.742,10.0793,3.4229
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,0.5116,0.677,0.5943,1.8135,0.7407,10.1964,3.3849
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,0.5099,0.673,0.5914,1.7991,0.7462,10.2206,3.3649
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,0.5157,0.6901,0.6029,1.8304,0.7452,10.5011,3.4507
mband_linear_N8_F25_O75_FL0p001,linear,8,25,75,0.001,1,0.5161,0.6356,0.5759,1.8341,0.737,10.6985,3.1781
mband_linear_N8_F25_O75_FL0p3,linear,8,25,75,0.3,1,0.5275,0.6584,0.593,1.8855,0.7491,11.2824,3.2921
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,0.5245,0.6572,0.5908,1.8638,0.7466,11.4848,3.2859
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,0.5283,0.6517,0.59,1.8889,0.7425,11.5492,3.2586
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,0.5241,0.6454,0.5848,1.8627,0.7449,11.4798,3.2272
mband_linear_N8_F8_O25_FL0p001,linear,8,8,25,0.001,1,0.4831,0.6342,0.5587,1.6509,0.7261,9.8961,3.1712
mband_linear_N8_F8_O25_FL0p3,linear,8,8,25,0.3,1,0.4931,0.6367,0.5649,1.6978,0.7404,10.2101,3.1833
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,0.4982,0.6241,0.5611,1.7219,0.7411,10.5622,3.1207
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,0.5002,0.6365,0.5683,1.7308,0.7424,10.698,3.1826
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,0.5016,0.6432,0.5724,1.7328,0.7456,10.9465,3.2161
mband_linear_N8_F8_O50_FL0p001,linear,8,8,50,0.001,1,0.5068,0.6418,0.5743,1.7764,0.7287,10.8963,3.209
mband_linear_N8_F8_O50_FL0p3,linear,8,8,50,0.3,1,0.5154,0.6512,0.5833,1.8217,0.7391,11.0225,3.2562
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,0.5194,0.6364,0.5779,1.84,0.7411,11.2638,3.1818
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,0.519,0.6338,0.5764,1.8338,0.7449,11.3377,3.169
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,0.5209,0.6392,0.58,1.8417,0.7462,11.4727,3.1959
mband_linear_N8_F8_O75_FL0p001,linear,8,8,75,0.001,1,0.5201,0.6304,0.5753,1.838,0.7414,11.565,3.152
mband_linear_N8_F8_O75_FL0p3,linear,8,8,75,0.3,1,0.5254,0.6319,0.5787,1.8607,0.7463,11.9294,3.1597
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,0.525,0.6208,0.5729,1.8667,0.7405,11.6928,3.1041
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,0.5239,0.6238,0.5739,1.8581,0.7416,11.7319,3.119
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,0.5258,0.6325,0.5792,1.8706,0.7419,11.7002,3.1626
mband_log_N16_F20_O25_FL0p001,log,16,20,25,0.001,1,0.4804,0.6907,0.5856,1.6606,0.7316,8.475,3.4536
mband_log_N16_F20_O25_FL0p3,log,16,20,25,0.3,1,0.4867,0.6735,0.5801,1.6888,0.7357,8.8888,3.3677
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,0.4904,0.691,0.5907,1.7082,0.7416,8.8766,3.4548
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,0.4919,0.6785,0.5852,1.7134,0.7427,9.041,3.3927
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,0.4901,0.6853,0.5877,1.706,0.7369,9.0271,3.4264
mband_log_N16_F20_O50_FL0p001,log,16,20,50,0.001,1,0.5064,0.6824,0.5944,1.792,0.7362,9.8131,3.4118
mband_log_N16_F20_O50_FL0p3,log,16,20,50,0.3,1,0.5157,0.6709,0.5933,1.8327,0.7445,10.4094,3.3546
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,0.517,0.6925,0.6048,1.8392,0.7424,10.5442,3.4626
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,0.5185,0.7065,0.6125,1.8443,0.7437,10.7234,3.5325
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,0.5229,0.6936,0.6083,1.867,0.75,10.7663,3.4681
mband_log_N16_F20_O75_FL0p001,log,16,20,75,0.001,1,0.5173,0.6362,0.5767,1.8381,0.7421,10.6894,3.1809
mband_log_N16_F20_O75_FL0p3,log,16,20,75,0.3,1,0.5256,0.6382,0.5819,1.8718,0.747,11.4225,3.191
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,0.5274,0.6327,0.5801,1.8819,0.7431,11.6069,3.1634
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,0.5295,0.6379,0.5837,1.8923,0.7439,11.7129,3.1893
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,0.5273,0.651,0.5891,1.8798,0.7473,11.5509,3.2548
mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,1,0.4675,0.7026,0.5851,1.5972,0.7246,7.8608,3.5129
mband_log_N16_F25_O25_FL0p3,log,16,25,25,0.3,1,0.4751,0.7008,0.588,1.6337,0.7317,8.1554,3.5042
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,0.477,0.6968,0.5869,1.6426,0.7331,8.2732,3.484
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,0.479,0.7019,0.5904,1.6526,0.7362,8.2897,3.5093
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,0.4783,0.6812,0.5798,1.6461,0.7361,8.3897,3.4062
mband_log_N16_F25_O50_FL0p001,log,16,25,50,0.001,1,0.5015,0.7103,0.6059,1.7728,0.7325,9.3818,3.5514
mband_log_N16_F25_O50_FL0p3,log,16,25,50,0.3,1,0.5087,0.6837,0.5962,1.7993,0.7418,9.9958,3.4186
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,0.5139,0.7119,0.6129,1.8271,0.7456,10.1034,3.5595
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,0.5098,0.693,0.6014,1.802,0.7397,10.2504,3.4648
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,0.5104,0.6839,0.5971,1.7994,0.7455,10.3749,3.4193
mband_log_N16_F25_O75_FL0p001,log,16,25,75,0.001,1,0.5179,0.6499,0.5839,1.8459,0.741,10.5333,3.2494
mband_log_N16_F25_O75_FL0p3,log,16,25,75,0.3,1,0.5213,0.6378,0.5796,1.8573,0.7384,11.0801,3.1891
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,0.5273,0.6512,0.5892,1.8824,0.7467,11.4262,3.2558
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,0.529,0.6557,0.5923,1.8932,0.7461,11.4339,3.2783
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,0.5292,0.6548,0.592,1.89,0.7463,11.6493,3.2742
mband_log_N16_F8_O25_FL0p001,log,16,8,25,0.001,1,0.4827,0.63,0.5563,1.6438,0.7326,9.9173,3.1499
mband_log_N16_F8_O25_FL0p3,log,16,8,25,0.3,1,0.4976,0.6318,0.5647,1.7242,0.7366,10.4152,3.159
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,0.499,0.6324,0.5657,1.7255,0.7439,10.5724,3.1618
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,0.5017,0.6366,0.5692,1.7349,0.7471,10.8306,3.1831
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,0.5009,0.6261,0.5635,1.7338,0.7461,10.6635,3.1305
mband_log_N16_F8_O50_FL0p001,log,16,8,50,0.001,1,0.5051,0.6404,0.5727,1.7715,0.731,10.5786,3.2018
mband_log_N16_F8_O50_FL0p3,log,16,8,50,0.3,1,0.5207,0.6564,0.5885,1.8461,0.7441,11.2585,3.2819
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,0.5192,0.6297,0.5744,1.8374,0.7445,11.225,3.1483
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,0.5227,0.6401,0.5814,1.8554,0.7461,11.3762,3.2004
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,0.525,0.6355,0.5802,1.8671,0.7451,11.5203,3.1775
mband_log_N16_F8_O75_FL0p001,log,16,8,75,0.001,1,0.5153,0.6359,0.5756,1.8219,0.7363,11.064,3.1797
mband_log_N16_F8_O75_FL0p3,log,16,8,75,0.3,1,0.5223,0.6255,0.5739,1.856,0.7406,11.3813,3.1276
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,0.523,0.6311,0.5771,1.854,0.7419,11.6646,3.1556
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,0.5282,0.6302,0.5792,1.8758,0.7461,12.0466,3.1512
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,0.5292,0.639,0.5841,1.8818,0.7495,11.945,3.1951
mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,1,0.4788,0.7039,0.5914,1.6546,0.7265,8.4383,3.5195
mband_log_N4_F20_O25_FL0p3,log,4,20,25,0.3,1,0.4881,0.7051,0.5966,1.6974,0.7343,8.9241,3.5257
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,0.4875,0.6866,0.5871,1.6944,0.7349,8.8689,3.4331
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,0.4894,0.6942,0.5918,1.7031,0.736,9.0056,3.4709
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,0.4891,0.6947,0.5919,1.7035,0.7336,8.9605,3.4735
mband_log_N4_F20_O50_FL0p001,log,4,20,50,0.001,1,0.5083,0.6859,0.5971,1.8007,0.7386,9.8868,3.4297
mband_log_N4_F20_O50_FL0p3,log,4,20,50,0.3,1,0.5166,0.6872,0.6019,1.8409,0.7421,10.346,3.4362
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,0.5207,0.6949,0.6078,1.856,0.7477,10.6921,3.4744
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,0.5165,0.6842,0.6004,1.8353,0.741,10.6402,3.4212
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,0.5179,0.6726,0.5953,1.8482,0.7409,10.4429,3.3629
mband_log_N4_F20_O75_FL0p001,log,4,20,75,0.001,1,0.519,0.6329,0.576,1.8565,0.7333,10.5928,3.1645
mband_log_N4_F20_O75_FL0p3,log,4,20,75,0.3,1,0.5256,0.6394,0.5825,1.8779,0.742,11.2852,3.197
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,0.5313,0.6381,0.5847,1.9009,0.7536,11.5512,3.1903
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,0.5326,0.6567,0.5947,1.9056,0.7534,11.7155,3.2837
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,0.5299,0.6424,0.5861,1.8905,0.7488,11.7541,3.2118
mband_log_N4_F25_O25_FL0p001,log,4,25,25,0.001,1,0.4641,0.7054,0.5848,1.5802,0.7233,7.6887,3.5269
mband_log_N4_F25_O25_FL0p3,log,4,25,25,0.3,1,0.4769,0.6946,0.5857,1.6412,0.7362,8.2109,3.4728
mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,0.4766,0.6826,0.5796,1.6389,0.7346,8.2824,3.4129
