Test_ID,SNR_dB,Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,VAD,Floor,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
0,15,2,linear,4,20,50,1,1,0.002,1.4598309993743896,0.8248201012611389,12.337675094604492,3.0975202187258533,4.411553626908791,2.7254051583012697,Success
0,15,3,linear,6,20,50,1,1,0.002,1.4606040716171265,0.8247373104095459,12.289143562316895,3.0918299004357035,4.40792027794381,2.723898484180254,Success
0,15,4,linear,8,20,50,1,1,0.002,1.4559228420257568,0.824552595615387,12.258129119873047,3.1050298740852846,4.422497714746787,2.7298617110515817,Success
0,15,5,linear,12,20,50,1,1,0.002,1.4558906555175781,0.824782133102417,12.233356475830078,3.1103641855751882,4.4097688983442795,2.7465008170084304,Success
0,15,6,log,2,20,50,1,1,0.002,1.393641710281372,0.8257558345794678,12.14752197265625,3.1045728584549006,4.421741616981805,2.7147750840427456,Success
0,15,7,log,4,20,50,1,1,0.002,1.3999292850494385,0.8247474431991577,12.075699806213379,3.068308417300807,4.384438675379978,2.7096013632589675,Success
0,15,8,log,6,20,50,1,1,0.002,1.4032522439956665,0.8242847323417664,11.823360443115234,3.030918744953153,4.385118986163964,2.651450839551449,Success
0,15,9,log,8,20,50,1,1,0.002,1.395796775817871,0.8241490125656128,11.497450828552246,3.095544635604707,4.41597913500607,2.7385914996800444,Success
0,15,10,log,12,20,50,1,1,0.002,1.3919119834899902,0.8231874108314514,10.840920448303223,3.003828342113185,4.3705440736855286,2.650969101213535,Success
0,15,11,mel,2,20,50,1,1,0.002,1.470582365989685,0.8259127140045166,11.57087230682373,3.065943115223895,4.421554901359614,2.6448442369094205,Success
0,15,12,mel,4,20,50,1,1,0.002,1.4632599353790283,0.8252193927764893,12.30987548828125,3.097525923604929,4.405610231814818,2.727479349340976,Success
0,15,13,mel,6,20,50,1,1,0.002,1.4571279287338257,0.8246950507164001,12.125747680664062,3.0951651374132623,4.424946476240593,2.7158490305682332,Success
0,15,14,mel,8,20,50,1,1,0.002,1.4599673748016357,0.824982225894928,12.026823997497559,3.0997320201302547,4.423019028737628,2.7122645063547615,Success
0,15,15,mel,12,20,50,1,1,0.002,1.4484835863113403,0.8236395120620728,11.81246280670166,3.0698379903232254,4.413475312329768,2.6998765057090672,Success
