Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_mos_ovr,PESQ,STOI,SI_SDR
mband_linear_N16_F25_O75_FL0p5,linear,16,25,75,0.5,1,3.2485,1.8609,0.7463,11.3888
mband_linear_N16_F25_O75_FL0p7,linear,16,25,75,0.7,1,3.344,1.8966,0.7487,11.7815
mband_linear_N16_F25_O75_FL0p8,linear,16,25,75,0.8,1,3.285,1.8795,0.7505,11.5608
mband_linear_N16_F8_O25_FL0p001,linear,16,8,25,0.001,1,3.1329,1.6456,0.7311,10.2161
mband_linear_N16_F8_O25_FL0p3,linear,16,8,25,0.3,1,3.0869,1.7095,0.7356,10.5463
mband_linear_N16_F8_O25_FL0p5,linear,16,8,25,0.5,1,3.2281,1.7315,0.7422,10.6836
mband_linear_N16_F8_O25_FL0p7,linear,16,8,25,0.7,1,3.1446,1.7332,0.7434,10.6351
mband_linear_N16_F8_O25_FL0p8,linear,16,8,25,0.8,1,3.1843,1.7319,0.7429,10.6727
mband_linear_N16_F8_O50_FL0p001,linear,16,8,50,0.001,1,3.2113,1.7787,0.7358,10.9364
mband_linear_N16_F8_O50_FL0p3,linear,16,8,50,0.3,1,3.2205,1.8345,0.7445,11.4354
mband_linear_N16_F8_O50_FL0p5,linear,16,8,50,0.5,1,3.2365,1.8531,0.7437,11.4694
mband_linear_N16_F8_O50_FL0p7,linear,16,8,50,0.7,1,3.2825,1.861,0.7433,11.3799
mband_linear_N16_F8_O50_FL0p8,linear,16,8,50,0.8,1,3.2013,1.8494,0.7458,11.4002
mband_linear_N16_F8_O75_FL0p001,linear,16,8,75,0.001,1,3.1588,1.8203,0.7373,11.4434
mband_linear_N16_F8_O75_FL0p3,linear,16,8,75,0.3,1,3.1125,1.8629,0.7432,11.7336
mband_linear_N16_F8_O75_FL0p5,linear,16,8,75,0.5,1,3.1373,1.8627,0.744,11.7769
mband_linear_N16_F8_O75_FL0p7,linear,16,8,75,0.7,1,3.1057,1.8618,0.7458,11.5659
mband_linear_N16_F8_O75_FL0p8,linear,16,8,75,0.8,1,3.1665,1.862,0.7469,11.9433
mband_linear_N4_F20_O25_FL0p001,linear,4,20,25,0.001,1,3.4888,1.6349,0.7288,8.4055
mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,1,3.552,1.6871,0.7384,8.932
mband_linear_N4_F20_O25_FL0p5,linear,4,20,25,0.5,1,3.5441,1.6898,0.734,9.0016
mband_linear_N4_F20_O25_FL0p7,linear,4,20,25,0.7,1,3.435,1.7065,0.7329,8.9044
mband_linear_N4_F20_O25_FL0p8,linear,4,20,25,0.8,1,3.4771,1.7118,0.7401,9.1191
mband_linear_N4_F20_O50_FL0p001,linear,4,20,50,0.001,1,3.4293,1.7963,0.7356,10.143
mband_linear_N4_F20_O50_FL0p3,linear,4,20,50,0.3,1,3.498,1.8315,0.7435,10.489
mband_linear_N4_F20_O50_FL0p5,linear,4,20,50,0.5,1,3.4027,1.8567,0.7392,10.6131
mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,3.4076,1.8745,0.7499,10.8345
mband_linear_N4_F20_O50_FL0p8,linear,4,20,50,0.8,1,3.4517,1.8494,0.7452,10.6051
mband_linear_N4_F20_O75_FL0p001,linear,4,20,75,0.001,1,3.1269,1.8511,0.7456,10.8731
mband_linear_N4_F20_O75_FL0p3,linear,4,20,75,0.3,1,3.2231,1.8929,0.7505,11.5853
mband_linear_N4_F20_O75_FL0p5,linear,4,20,75,0.5,1,3.2361,1.8981,0.7519,11.6282
mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,3.2562,1.9028,0.7485,11.9557
mband_linear_N4_F20_O75_FL0p8,linear,4,20,75,0.8,1,3.2245,1.8981,0.7505,11.6947
mband_linear_N4_F25_O25_FL0p001,linear,4,25,25,0.001,1,3.3931,1.5961,0.7283,7.9259
mband_linear_N4_F25_O25_FL0p3,linear,4,25,25,0.3,1,3.5011,1.624,0.7312,8.1569
mband_linear_N4_F25_O25_FL0p5,linear,4,25,25,0.5,1,3.5178,1.6345,0.7344,8.3298
mband_linear_N4_F25_O25_FL0p7,linear,4,25,25,0.7,1,3.4998,1.6474,0.7337,8.4113
mband_linear_N4_F25_O25_FL0p8,linear,4,25,25,0.8,1,3.5003,1.657,0.7334,8.4081
mband_linear_N4_F25_O50_FL0p001,linear,4,25,50,0.001,1,3.4305,1.7654,0.7338,9.7375
mband_linear_N4_F25_O50_FL0p3,linear,4,25,50,0.3,1,3.4493,1.7848,0.7387,9.9505
mband_linear_N4_F25_O50_FL0p5,linear,4,25,50,0.5,1,3.4214,1.8115,0.7395,10.1876
mband_linear_N4_F25_O50_FL0p7,linear,4,25,50,0.7,1,3.4135,1.8099,0.7451,10.1453
mband_linear_N4_F25_O50_FL0p8,linear,4,25,50,0.8,1,3.4086,1.808,0.7439,10.3398
mband_linear_N4_F25_O75_FL0p001,linear,4,25,75,0.001,1,3.1761,1.8418,0.7353,10.848
mband_linear_N4_F25_O75_FL0p3,linear,4,25,75,0.3,1,3.2474,1.8654,0.7457,11.272
mband_linear_N4_F25_O75_FL0p5,linear,4,25,75,0.5,1,3.2876,1.8622,0.7461,11.5055
mband_linear_N4_F25_O75_FL0p7,linear,4,25,75,0.7,1,3.1782,1.8748,0.7475,11.4584
mband_linear_N4_F25_O75_FL0p8,linear,4,25,75,0.8,1,3.2271,1.8717,0.7489,11.5247
mband_linear_N4_F8_O25_FL0p001,linear,4,8,25,0.001,1,3.2054,1.6518,0.7347,10.1204
mband_linear_N4_F8_O25_FL0p3,linear,4,8,25,0.3,1,3.112,1.7066,0.7351,10.3853
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,3.1282,1.7245,0.7442,10.6743
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,3.093,1.7187,0.7376,10.6163
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,3.1699,1.7222,0.7441,10.7439
mband_linear_N4_F8_O50_FL0p001,linear,4,8,50,0.001,1,3.2387,1.8,0.7311,10.9915
mband_linear_N4_F8_O50_FL0p3,linear,4,8,50,0.3,1,3.1585,1.848,0.7382,11.2312
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,3.1944,1.842,0.7401,11.2121
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,3.2094,1.8437,0.7391,11.2778
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,3.1514,1.8646,0.7419,11.6499
mband_linear_N4_F8_O75_FL0p001,linear,4,8,75,0.001,1,3.1525,1.833,0.7335,11.3262
mband_linear_N4_F8_O75_FL0p3,linear,4,8,75,0.3,1,3.096,1.8804,0.7441,11.7773
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,3.1911,1.8755,0.7444,11.7181
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,3.1816,1.8738,0.747,11.9622
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,3.1471,1.8848,0.7447,11.9333
mband_linear_N8_F20_O25_FL0p001,linear,8,20,25,0.001,1,3.4675,1.6397,0.7276,8.6428
mband_linear_N8_F20_O25_FL0p3,linear,8,20,25,0.3,1,3.467,1.6835,0.7378,8.9473
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,3.3936,1.6954,0.7398,8.9466
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,3.3928,1.6967,0.7356,8.9668
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,3.4279,1.7045,0.7409,9.0373
mband_linear_N8_F20_O50_FL0p001,linear,8,20,50,0.001,1,3.3711,1.803,0.7381,9.9651
mband_linear_N8_F20_O50_FL0p3,linear,8,20,50,0.3,1,3.3914,1.8284,0.7454,10.5949
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,3.4522,1.8437,0.7407,10.6467
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,3.3838,1.8507,0.7414,10.63
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,3.398,1.8489,0.746,10.639
mband_linear_N8_F20_O75_FL0p001,linear,8,20,75,0.001,1,3.1291,1.8451,0.741,10.9551
mband_linear_N8_F20_O75_FL0p3,linear,8,20,75,0.3,1,3.2201,1.8782,0.7468,11.5718
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,3.1555,1.8881,0.7445,11.7241
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,3.2125,1.9012,0.751,11.724
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,3.1688,1.8991,0.7471,11.7232
mband_linear_N8_F25_O25_FL0p001,linear,8,25,25,0.001,1,3.5343,1.5867,0.7242,8.0323
mband_linear_N8_F25_O25_FL0p3,linear,8,25,25,0.3,1,3.5244,1.6299,0.7316,8.1082
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,3.4351,1.641,0.7299,8.211
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,3.4785,1.6414,0.7332,8.3325
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,3.4569,1.6583,0.7368,8.3841
mband_linear_N8_F25_O50_FL0p001,linear,8,25,50,0.001,1,3.4161,1.7424,0.7321,9.6224
mband_linear_N8_F25_O50_FL0p3,linear,8,25,50,0.3,1,3.4229,1.8014,0.742,10.0793
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,3.3849,1.8135,0.7407,10.1964
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,3.3649,1.7991,0.7462,10.2206
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,3.4507,1.8304,0.7452,10.5011
mband_linear_N8_F25_O75_FL0p001,linear,8,25,75,0.001,1,3.1781,1.8341,0.737,10.6985
mband_linear_N8_F25_O75_FL0p3,linear,8,25,75,0.3,1,3.2921,1.8855,0.7491,11.2824
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,3.2859,1.8638,0.7466,11.4848
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,3.2586,1.8889,0.7425,11.5492
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,3.2272,1.8627,0.7449,11.4798
mband_linear_N8_F8_O25_FL0p001,linear,8,8,25,0.001,1,3.1712,1.6509,0.7261,9.8961
mband_linear_N8_F8_O25_FL0p3,linear,8,8,25,0.3,1,3.1833,1.6978,0.7404,10.2101
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,3.1207,1.7219,0.7411,10.5622
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,3.1826,1.7308,0.7424,10.698
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,3.2161,1.7328,0.7456,10.9465
mband_linear_N8_F8_O50_FL0p001,linear,8,8,50,0.001,1,3.209,1.7764,0.7287,10.8963
mband_linear_N8_F8_O50_FL0p3,linear,8,8,50,0.3,1,3.2562,1.8217,0.7391,11.0225
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,3.1818,1.84,0.7411,11.2638
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,3.169,1.8338,0.7449,11.3377
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,3.1959,1.8417,0.7462,11.4727
mband_linear_N8_F8_O75_FL0p001,linear,8,8,75,0.001,1,3.152,1.838,0.7414,11.565
mband_linear_N8_F8_O75_FL0p3,linear,8,8,75,0.3,1,3.1597,1.8607,0.7463,11.9294
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,3.1041,1.8667,0.7405,11.6928
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,3.119,1.8581,0.7416,11.7319
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,3.1626,1.8706,0.7419,11.7002
mband_log_N16_F20_O25_FL0p001,log,16,20,25,0.001,1,3.4536,1.6606,0.7316,8.475
mband_log_N16_F20_O25_FL0p3,log,16,20,25,0.3,1,3.3677,1.6888,0.7357,8.8888
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,3.4548,1.7082,0.7416,8.8766
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,3.3927,1.7134,0.7427,9.041
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,3.4264,1.706,0.7369,9.0271
mband_log_N16_F20_O50_FL0p001,log,16,20,50,0.001,1,3.4118,1.792,0.7362,9.8131
mband_log_N16_F20_O50_FL0p3,log,16,20,50,0.3,1,3.3546,1.8327,0.7445,10.4094
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,3.4626,1.8392,0.7424,10.5442
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,3.5325,1.8443,0.7437,10.7234
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,3.4681,1.867,0.75,10.7663
mband_log_N16_F20_O75_FL0p001,log,16,20,75,0.001,1,3.1809,1.8381,0.7421,10.6894
mband_log_N16_F20_O75_FL0p3,log,16,20,75,0.3,1,3.191,1.8718,0.747,11.4225
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,3.1634,1.8819,0.7431,11.6069
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,3.1893,1.8923,0.7439,11.7129
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,3.2548,1.8798,0.7473,11.5509
mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,1,3.5129,1.5972,0.7246,7.8608
mband_log_N16_F25_O25_FL0p3,log,16,25,25,0.3,1,3.5042,1.6337,0.7317,8.1554
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,3.484,1.6426,0.7331,8.2732
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,3.5093,1.6526,0.7362,8.2897
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,3.4062,1.6461,0.7361,8.3897
mband_log_N16_F25_O50_FL0p001,log,16,25,50,0.001,1,3.5514,1.7728,0.7325,9.3818
mband_log_N16_F25_O50_FL0p3,log,16,25,50,0.3,1,3.4186,1.7993,0.7418,9.9958
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,3.5595,1.8271,0.7456,10.1034
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,3.4648,1.802,0.7397,10.2504
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,3.4193,1.7994,0.7455,10.3749
mband_log_N16_F25_O75_FL0p001,log,16,25,75,0.001,1,3.2494,1.8459,0.741,10.5333
mband_log_N16_F25_O75_FL0p3,log,16,25,75,0.3,1,3.1891,1.8573,0.7384,11.0801
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,3.2558,1.8824,0.7467,11.4262
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,3.2783,1.8932,0.7461,11.4339
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,3.2742,1.89,0.7463,11.6493
mband_log_N16_F8_O25_FL0p001,log,16,8,25,0.001,1,3.1499,1.6438,0.7326,9.9173
mband_log_N16_F8_O25_FL0p3,log,16,8,25,0.3,1,3.159,1.7242,0.7366,10.4152
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,3.1618,1.7255,0.7439,10.5724
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,3.1831,1.7349,0.7471,10.8306
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,3.1305,1.7338,0.7461,10.6635
mband_log_N16_F8_O50_FL0p001,log,16,8,50,0.001,1,3.2018,1.7715,0.731,10.5786
mband_log_N16_F8_O50_FL0p3,log,16,8,50,0.3,1,3.2819,1.8461,0.7441,11.2585
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,3.1483,1.8374,0.7445,11.225
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,3.2004,1.8554,0.7461,11.3762
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,3.1775,1.8671,0.7451,11.5203
mband_log_N16_F8_O75_FL0p001,log,16,8,75,0.001,1,3.1797,1.8219,0.7363,11.064
mband_log_N16_F8_O75_FL0p3,log,16,8,75,0.3,1,3.1276,1.856,0.7406,11.3813
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,3.1556,1.854,0.7419,11.6646
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,3.1512,1.8758,0.7461,12.0466
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,3.1951,1.8818,0.7495,11.945
mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,1,3.5195,1.6546,0.7265,8.4383
mband_log_N4_F20_O25_FL0p3,log,4,20,25,0.3,1,3.5257,1.6974,0.7343,8.9241
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,3.4331,1.6944,0.7349,8.8689
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,3.4709,1.7031,0.736,9.0056
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,3.4735,1.7035,0.7336,8.9605
mband_log_N4_F20_O50_FL0p001,log,4,20,50,0.001,1,3.4297,1.8007,0.7386,9.8868
mband_log_N4_F20_O50_FL0p3,log,4,20,50,0.3,1,3.4362,1.8409,0.7421,10.346
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,3.4744,1.856,0.7477,10.6921
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,3.4212,1.8353,0.741,10.6402
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,3.3629,1.8482,0.7409,10.4429
mband_log_N4_F20_O75_FL0p001,log,4,20,75,0.001,1,3.1645,1.8565,0.7333,10.5928
mband_log_N4_F20_O75_FL0p3,log,4,20,75,0.3,1,3.197,1.8779,0.742,11.2852
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,3.1903,1.9009,0.7536,11.5512
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,3.2837,1.9056,0.7534,11.7155
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,3.2118,1.8905,0.7488,11.7541
mband_log_N4_F25_O25_FL0p001,log,4,25,25,0.001,1,3.5269,1.5802,0.7233,7.6887
mband_log_N4_F25_O25_FL0p3,log,4,25,25,0.3,1,3.4728,1.6412,0.7362,8.2109
mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,3.4129,1.6389,0.7346,8.2824
mband_log_N4_F25_O25_FL0p7,log,4,25,25,0.7,1,3.4943,1.6501,0.7305,8.2265
mband_log_N4_F25_O25_FL0p8,log,4,25,25,0.8,1,3.4755,1.6348,0.7321,8.3128
mband_log_N4_F25_O50_FL0p001,log,4,25,50,0.001,1,3.4937,1.7473,0.7299,9.431
mband_log_N4_F25_O50_FL0p3,log,4,25,50,0.3,1,3.5136,1.8001,0.7389,9.9818
mband_log_N4_F25_O50_FL0p5,log,4,25,50,0.5,1,3.4397,1.8047,0.7424,9.8916
mband_log_N4_F25_O50_FL0p7,log,4,25,50,0.7,1,3.4969,1.8217,0.7434,10.3278
mband_log_N4_F25_O50_FL0p8,log,4,25,50,0.8,1,3.3587,1.8232,0.7411,10.2899
mband_log_N4_F25_O75_FL0p001,log,4,25,75,0.001,1,3.2043,1.8309,0.7327,10.3916
mband_log_N4_F25_O75_FL0p3,log,4,25,75,0.3,1,3.1725,1.8711,0.7474,11.1839
mband_log_N4_F25_O75_FL0p5,log,4,25,75,0.5,1,3.3083,1.8641,0.7427,11.3651
mband_log_N4_F25_O75_FL0p7,log,4,25,75,0.7,1,3.2047,1.8763,0.7439,11.5211
mband_log_N4_F25_O75_FL0p8,log,4,25,75,0.8,1,3.1879,1.8789,0.7484,11.4777
mband_log_N4_F8_O25_FL0p001,log,4,8,25,0.001,1,3.1225,1.6378,0.7219,9.8332
mband_log_N4_F8_O25_FL0p3,log,4,8,25,0.3,1,3.1447,1.7175,0.7416,10.4933
mband_log_N4_F8_O25_FL0p5,log,4,8,25,0.5,1,3.2016,1.7301,0.7436,10.5352
mband_log_N4_F8_O25_FL0p7,log,4,8,25,0.7,1,3.2093,1.7256,0.7441,10.764
mband_log_N4_F8_O25_FL0p8,log,4,8,25,0.8,1,3.1419,1.726,0.7411,10.7315
mband_log_N4_F8_O50_FL0p001,log,4,8,50,0.001,1,3.1705,1.7985,0.7318,10.7462
mband_log_N4_F8_O50_FL0p3,log,4,8,50,0.3,1,3.1741,1.8391,0.7398,11.1519
mband_log_N4_F8_O50_FL0p5,log,4,8,50,0.5,1,3.2373,1.8626,0.7467,11.3852
mband_log_N4_F8_O50_FL0p7,log,4,8,50,0.7,1,3.1743,1.8596,0.7406,11.3164
mband_log_N4_F8_O50_FL0p8,log,4,8,50,0.8,1,3.2023,1.8582,0.7439,11.4301
mband_log_N4_F8_O75_FL0p001,log,4,8,75,0.001,1,3.1908,1.8266,0.7338,11.1056
mband_log_N4_F8_O75_FL0p3,log,4,8,75,0.3,1,3.1709,1.8778,0.7431,11.7628
mband_log_N4_F8_O75_FL0p5,log,4,8,75,0.5,1,3.2001,1.8758,0.7467,11.9138
mband_log_N4_F8_O75_FL0p7,log,4,8,75,0.7,1,3.0987,1.8803,0.7448,11.8323
mband_log_N4_F8_O75_FL0p8,log,4,8,75,0.8,1,3.1445,1.8708,0.7518,11.9815
mband_log_N8_F20_O25_FL0p001,log,8,20,25,0.001,1,3.5098,1.645,0.727,8.2915
mband_log_N8_F20_O25_FL0p3,log,8,20,25,0.3,1,3.5583,1.6941,0.7381,8.8547
mband_log_N8_F20_O25_FL0p5,log,8,20,25,0.5,1,3.5085,1.7,0.7377,8.9289
mband_log_N8_F20_O25_FL0p7,log,8,20,25,0.7,1,3.4665,1.694,0.7383,9.0143
mband_log_N8_F20_O25_FL0p8,log,8,20,25,0.8,1,3.4228,1.699,0.7362,8.8717
mband_log_N8_F20_O50_FL0p001,log,8,20,50,0.001,1,3.4061,1.8206,0.7354,9.8676
mband_log_N8_F20_O50_FL0p3,log,8,20,50,0.3,1,3.3582,1.8592,0.7419,10.4085
mband_log_N8_F20_O50_FL0p5,log,8,20,50,0.5,1,3.4031,1.8513,0.7454,10.6218
mband_log_N8_F20_O50_FL0p7,log,8,20,50,0.7,1,3.4467,1.8732,0.7423,10.6762
mband_log_N8_F20_O50_FL0p8,log,8,20,50,0.8,1,3.3716,1.8698,0.7474,10.8154
mband_log_N8_F20_O75_FL0p001,log,8,20,75,0.001,1,3.1089,1.8427,0.7405,10.6186
mband_log_N8_F20_O75_FL0p3,log,8,20,75,0.3,1,3.1792,1.8787,0.7433,11.2463
mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,1,3.242,1.8961,0.7473,11.4488
mband_log_N8_F20_O75_FL0p7,log,8,20,75,0.7,1,3.1737,1.9065,0.7484,11.7905
mband_log_N8_F20_O75_FL0p8,log,8,20,75,0.8,1,3.1696,1.8961,0.7465,11.8747
mband_log_N8_F25_O25_FL0p001,log,8,25,25,0.001,1,3.438,1.6048,0.7248,7.8661
mband_log_N8_F25_O25_FL0p3,log,8,25,25,0.3,1,3.5146,1.6464,0.7294,7.943
mband_log_N8_F25_O25_FL0p5,log,8,25,25,0.5,1,3.5077,1.6468,0.7356,8.3134
mband_log_N8_F25_O25_FL0p7,log,8,25,25,0.7,1,3.4463,1.6478,0.7367,8.3011
mband_log_N8_F25_O25_FL0p8,log,8,25,25,0.8,1,3.4951,1.6447,0.7343,8.2764
mband_log_N8_F25_O50_FL0p001,log,8,25,50,0.001,1,3.408,1.7519,0.7315,9.4031
mband_log_N8_F25_O50_FL0p3,log,8,25,50,0.3,1,3.5119,1.7917,0.7398,9.9542
mband_log_N8_F25_O50_FL0p5,log,8,25,50,0.5,1,3.4198,1.8142,0.7391,10.1164
mband_log_N8_F25_O50_FL0p7,log,8,25,50,0.7,1,3.4271,1.8005,0.7428,10.2555
mband_log_N8_F25_O50_FL0p8,log,8,25,50,0.8,1,3.3866,1.8302,0.7447,10.3091
mband_log_N8_F25_O75_FL0p001,log,8,25,75,0.001,1,3.2431,1.8499,0.7375,10.422
mband_log_N8_F25_O75_FL0p3,log,8,25,75,0.3,1,3.3223,1.8484,0.7387,11.143
mband_log_N8_F25_O75_FL0p5,log,8,25,75,0.5,1,3.2407,1.8692,0.7437,11.4226
