Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N8_F20_O25_FL0p001,linear,8,20,25,0.001,1,0.52,0.576,0.548,1.555,0.7229,6.9641,2.8802
mband_linear_N8_F20_O25_FL0p02,linear,8,20,25,0.02,1,0.5155,0.5806,0.5481,1.5298,0.7198,6.7876,2.9032
mband_linear_N8_F20_O25_FL0p2,linear,8,20,25,0.2,1,0.5031,0.5923,0.5477,1.4343,0.7256,6.0073,2.9613
mband_linear_N8_F20_O50_FL0p001,linear,8,20,50,0.001,1,0.537,0.5626,0.5498,1.6541,0.723,8.4818,2.8128
mband_linear_N8_F20_O50_FL0p02,linear,8,20,50,0.02,1,0.5324,0.5549,0.5437,1.6268,0.7224,8.1394,2.7747
mband_linear_N8_F20_O50_FL0p2,linear,8,20,50,0.2,1,0.5168,0.5826,0.5497,1.5088,0.7274,7.2502,2.913
mband_linear_N8_F20_O75_FL0p001,linear,8,20,75,0.001,1,0.5388,0.5291,0.5339,1.6542,0.7263,8.7086,2.6455
mband_linear_N8_F20_O75_FL0p02,linear,8,20,75,0.02,1,0.5365,0.5195,0.528,1.6438,0.7242,8.5963,2.5975
mband_linear_N8_F20_O75_FL0p2,linear,8,20,75,0.2,1,0.5181,0.5513,0.5347,1.4986,0.7295,7.818,2.7566
mband_linear_N8_F25_O25_FL0p001,linear,8,25,25,0.001,1,0.511,0.5898,0.5504,1.5028,0.7168,6.6782,2.9491
mband_linear_N8_F25_O25_FL0p02,linear,8,25,25,0.02,1,0.5097,0.5822,0.5459,1.4938,0.7182,6.5034,2.9108
mband_linear_N8_F25_O25_FL0p2,linear,8,25,25,0.2,1,0.4958,0.595,0.5454,1.3955,0.7216,5.5558,2.9748
mband_linear_N8_F25_O50_FL0p001,linear,8,25,50,0.001,1,0.5372,0.5938,0.5655,1.6659,0.7234,8.0747,2.9689
mband_linear_N8_F25_O50_FL0p02,linear,8,25,50,0.02,1,0.5349,0.5828,0.5588,1.6372,0.7292,7.907,2.9139
mband_linear_N8_F25_O50_FL0p2,linear,8,25,50,0.2,1,0.5113,0.5815,0.5464,1.4789,0.725,6.9043,2.9076
mband_linear_N8_F25_O75_FL0p001,linear,8,25,75,0.001,1,0.5414,0.5277,0.5346,1.6723,0.7285,8.665,2.6383
mband_linear_N8_F25_O75_FL0p02,linear,8,25,75,0.02,1,0.5378,0.5218,0.5298,1.6558,0.7256,8.4353,2.6088
mband_linear_N8_F25_O75_FL0p2,linear,8,25,75,0.2,1,0.5203,0.5617,0.541,1.5162,0.7299,7.8035,2.8083
mband_linear_N8_F8_O25_FL0p001,linear,8,8,25,0.001,1,0.5119,0.4904,0.5012,1.5051,0.7112,7.3835,2.4522
mband_linear_N8_F8_O25_FL0p02,linear,8,8,25,0.02,1,0.512,0.5141,0.5131,1.4858,0.7179,7.5182,2.5707
mband_linear_N8_F8_O25_FL0p2,linear,8,8,25,0.2,1,0.5036,0.5526,0.5281,1.4237,0.7224,6.8282,2.7629
