config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N4_F25_O50_FL0p5,46.16405487060547,hybrid,mel,4,25,50,3,0.5,1,1
mband_mel_N4_F25_O50_FL0p7,49.45872735977173,hybrid,mel,4,25,50,3,0.7,1,1
mband_mel_N4_F25_O50_FL0p8,46.38511919975281,hybrid,mel,4,25,50,3,0.8,1,1
mband_mel_N4_F25_O75_FL0p001,58.654892683029175,hybrid,mel,4,25,75,1,0.001,1,1
mband_mel_N4_F25_O75_FL0p3,57.40636324882507,hybrid,mel,4,25,75,1,0.3,1,1
mband_mel_N4_F25_O75_FL0p5,57.6336784362793,hybrid,mel,4,25,75,1,0.5,1,1
mband_mel_N4_F25_O75_FL0p7,60.71376657485962,hybrid,mel,4,25,75,1,0.7,1,1
mband_mel_N4_F25_O75_FL0p8,58.185667753219604,hybrid,mel,4,25,75,1,0.8,1,1
mband_mel_N4_F25_O75_FL0p001,57.88765025138855,hybrid,mel,4,25,75,3,0.001,1,1
mband_mel_N4_F25_O75_FL0p3,60.17769479751587,hybrid,mel,4,25,75,3,0.3,1,1
mband_mel_N4_F25_O75_FL0p5,58.11845803260803,hybrid,mel,4,25,75,3,0.5,1,1
mband_mel_N4_F25_O75_FL0p7,57.471604108810425,hybrid,mel,4,25,75,3,0.7,1,1
mband_mel_N4_F25_O75_FL0p8,59.74266767501831,hybrid,mel,4,25,75,3,0.8,1,1
mband_mel_N8_F8_O25_FL0p001,62.2888560295105,hybrid,mel,8,8,25,1,0.001,1,1
mband_mel_N8_F8_O25_FL0p3,61.96489119529724,hybrid,mel,8,8,25,1,0.3,1,1
mband_mel_N8_F8_O25_FL0p5,62.93921947479248,hybrid,mel,8,8,25,1,0.5,1,1
mband_mel_N8_F8_O25_FL0p7,64.6206271648407,hybrid,mel,8,8,25,1,0.7,1,1
mband_mel_N8_F8_O25_FL0p8,62.222410440444946,hybrid,mel,8,8,25,1,0.8,1,1
mband_mel_N8_F8_O25_FL0p001,61.03114151954651,hybrid,mel,8,8,25,3,0.001,1,1
mband_mel_N8_F8_O25_FL0p3,60.31099534034729,hybrid,mel,8,8,25,3,0.3,1,1
mband_mel_N8_F8_O25_FL0p5,62.06906867027283,hybrid,mel,8,8,25,3,0.5,1,1
mband_mel_N8_F8_O25_FL0p7,62.547698736190796,hybrid,mel,8,8,25,3,0.7,1,1
