Metric,SNR_dB,Noisy,mband_lin_avr0,mband_lin_avr1,mband_log_avr0,mband_log_avr1,mband_mel_avr0,mband_mel_avr1,mband_py_lin_avr0_8,mband_py_lin_avr1,mband_py_log_avr0_8,mband_py_log_avr1,mband_py_mel_avr0_8,mband_py_mel_avr1
STOI,5,0.7153,0.7198,0.7239,0.7148,0.719,0.7201,0.7215,0.7204,0.7238,0.7176,0.7243,0.7218,0.7247
STOI,10,0.774,0.7768,0.778,0.7757,0.7746,0.7759,0.7765,0.7756,0.78,0.7746,0.7725,0.7758,0.7766
STOI,15,0.8137,0.8207,0.815,0.816,0.8111,0.8187,0.8147,0.8171,0.815,0.8194,0.8125,0.8195,0.8172
DNSMOS_p808_mos,-5,2.4363,2.5796,2.548,2.6377,2.5539,2.5481,2.5604,2.6085,2.5739,2.5585,2.5863,2.5808,2.5741
DNSMOS_p808_mos,0,2.5694,2.6896,2.6875,2.6829,2.6909,2.6204,2.6722,2.661,2.6779,2.6337,2.7083,2.6368,2.6794
DNSMOS_p808_mos,5,2.7331,2.722,2.7795,2.7558,2.8141,2.7243,2.826,2.7413,2.7922,2.7533,2.8057,2.7347,2.8011
DNSMOS_p808_mos,10,2.9111,2.8856,2.9114,2.8971,2.9619,2.8542,2.9001,2.862,2.9342,2.889,2.9424,2.866,2.9229
DNSMOS_p808_mos,15,3.0481,3.034,3.0678,3.0408,3.0761,3.0204,3.072,3.0804,3.0487,3.0306,3.0382,3.0771,3.0679
DNSMOS_mos_sig,-5,3.5517,3.1559,3.6856,3.2259,3.7636,3.0306,3.6746,2.9568,3.7379,3.0029,3.7267,2.9188,3.5972
DNSMOS_mos_sig,0,3.8877,3.0563,3.5832,3.1358,3.7385,3.1264,3.7527,3.0327,3.6902,2.8915,3.762,2.9212,3.7062
DNSMOS_mos_sig,5,3.9827,3.1003,3.7546,3.2106,3.7846,3.2987,3.8696,3.1735,3.7077,3.2196,3.6878,3.1544,3.6596
DNSMOS_mos_sig,10,4.0784,3.4408,3.8729,3.4997,3.8935,3.5216,3.8634,3.437,3.9085,3.4458,3.8408,3.5468,3.7991
DNSMOS_mos_sig,15,4.0454,3.8289,3.9658,3.7112,3.98,3.7436,4.0196,3.8361,3.9832,3.7382,3.9912,3.6917,3.9186
DNSMOS_mos_bak,-5,1.6733,1.8431,2.0799,1.9406,2.1171,1.8218,2.0734,1.9145,2.2017,2.019,2.2131,1.943,2.1649
DNSMOS_mos_bak,0,1.903,2.035,2.1954,2.0594,2.2541,2.0459,2.2078,2.0832,2.355,2.1366,2.3912,2.1146,2.3117
DNSMOS_mos_bak,5,2.1026,2.1893,2.4143,2.2587,2.435,2.1608,2.4241,2.3314,2.5025,2.3931,2.5283,2.2326,2.3996
DNSMOS_mos_bak,10,2.3277,2.4088,2.5688,2.4641,2.6391,2.3366,2.567,2.5097,2.7236,2.5336,2.7483,2.5478,2.6486
DNSMOS_mos_bak,15,2.518,2.6905,2.8934,2.6275,2.9363,2.6215,2.8951,2.8729,3.0236,2.7883,3.0619,2.8133,3.0503
DNSMOS_mos_ovr,-5,1.9706,1.889,2.3191,2.0119,2.3783,1.8397,2.2969,1.8422,2.3967,1.9253,2.4022,1.8627,2.3211
DNSMOS_mos_ovr,0,2.2631,1.9418,2.3075,1.9952,2.4276,1.9877,2.4021,1.9574,2.434,1.9317,2.5097,1.9311,2.4435
DNSMOS_mos_ovr,5,2.4361,2.0662,2.5193,2.1506,2.5393,2.1722,2.6053,2.1958,2.5347,2.2266,2.5373,2.103,2.4612
DNSMOS_mos_ovr,10,2.6382,2.3799,2.6781,2.4321,2.7389,2.3742,2.671,2.4015,2.7638,2.4329,2.7283,2.4884,2.6694
DNSMOS_mos_ovr,15,2.7482,2.7694,2.9388,2.6562,2.9583,2.6701,2.9668,2.8353,2.9809,2.7308,3.0043,2.7252,2.9578
