SNR_dB,Noise_File,Participant,Method,FLOOR,FRMSZ,Nband,AVRGING,Noisefr,VAD,PESQ,STOI,SI_SDR,Weighted_Score,PESQ_improvement,STOI_improvement,SI_SDR_improvement,Status
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,8,1,1,1,1.1693644523620605,0.7264930605888367,4.569477558135986,0.5301829755306244,-0.0010968446731567383,7.939338684082031e-05,0.025545120239257812,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,8,1,3,0,1.2135508060455322,0.7124490141868591,4.461581707000732,0.5275795876979827,0.04308950901031494,-0.013964653015136719,-0.0823507308959961,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,8,1,3,1,1.1694550514221191,0.7265093922615051,4.5695271492004395,0.5302002012729645,-0.0010062456130981445,9.572505950927734e-05,0.025594711303710938,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,4,1,1,0,1.255897045135498,0.7157396078109741,4.461258888244629,0.5334595084190369,0.08543574810028076,-0.010674059391021729,-0.08267354965209961,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,4,1,1,1,1.2545514106750488,0.7152760624885559,4.449884414672852,0.5330931723117829,0.08409011363983154,-0.011137604713439941,-0.09404802322387695,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,4,1,3,0,1.2512054443359375,0.7143349051475525,4.725611686706543,0.53228799700737,0.08074414730072021,-0.01207876205444336,0.18167924880981445,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,4,1,3,1,1.1614353656768799,0.721817672252655,4.60604190826416,0.5270523726940155,-0.009025931358337402,-0.00459599494934082,0.06210947036743164,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,8,1,1,0,1.2575650215148926,0.7158398628234863,4.451775074005127,0.5336764335632325,0.08710372447967529,-0.010573804378509521,-0.09215736389160156,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,8,1,1,1,1.2561180591583252,0.715276837348938,4.440513610839844,0.5332502245903015,0.08565676212310791,-0.011136829853057861,-0.10341882705688477,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,8,1,3,0,1.2551684379577637,0.7144253253936768,4.7164998054504395,0.5327295064926147,0.08470714092254639,-0.011988341808319092,0.17256736755371094,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,8,8,1,3,1,1.1615087985992432,0.7221029996871948,4.605431079864502,0.5272023797035217,-0.008952498435974121,-0.004310667514801025,0.06149864196777344,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,4,1,1,0,1.2278274297714233,0.7167090773582458,4.676894664764404,0.5311372816562653,0.057366132736206055,-0.00970458984375,0.13296222686767578,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,4,1,1,1,1.170396327972412,0.7269628047943115,4.576689720153809,0.530521035194397,-6.496906280517578e-05,0.0005491375923156738,0.03275728225708008,Success
