Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,11.724,1.9012,0.751,3.2125
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,11.7232,1.8991,0.7471,3.1688
mband_linear_N8_F25_O25_FL0p001,linear,8,25,25,0.001,1,8.0323,1.5867,0.7242,3.5343
mband_linear_N8_F25_O25_FL0p3,linear,8,25,25,0.3,1,8.1082,1.6299,0.7316,3.5244
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,8.211,1.641,0.7299,3.4351
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,8.3325,1.6414,0.7332,3.4785
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,8.3841,1.6583,0.7368,3.4569
mband_linear_N8_F25_O50_FL0p001,linear,8,25,50,0.001,1,9.6224,1.7424,0.7321,3.4161
mband_linear_N8_F25_O50_FL0p3,linear,8,25,50,0.3,1,10.0793,1.8014,0.742,3.4229
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,10.1964,1.8135,0.7407,3.3849
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,10.2206,1.7991,0.7462,3.3649
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,10.5011,1.8304,0.7452,3.4507
mband_linear_N8_F25_O75_FL0p001,linear,8,25,75,0.001,1,10.6985,1.8341,0.737,3.1781
mband_linear_N8_F25_O75_FL0p3,linear,8,25,75,0.3,1,11.2824,1.8855,0.7491,3.2921
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,11.4848,1.8638,0.7466,3.2859
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,11.5492,1.8889,0.7425,3.2586
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,11.4798,1.8627,0.7449,3.2272
mband_linear_N8_F8_O25_FL0p001,linear,8,8,25,0.001,1,9.8961,1.6509,0.7261,3.1712
mband_linear_N8_F8_O25_FL0p3,linear,8,8,25,0.3,1,10.2101,1.6978,0.7404,3.1833
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,10.5622,1.7219,0.7411,3.1207
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,10.698,1.7308,0.7424,3.1826
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,10.9465,1.7328,0.7456,3.2161
mband_linear_N8_F8_O50_FL0p001,linear,8,8,50,0.001,1,10.8963,1.7764,0.7287,3.209
mband_linear_N8_F8_O50_FL0p3,linear,8,8,50,0.3,1,11.0225,1.8217,0.7391,3.2562
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,11.2638,1.84,0.7411,3.1818
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,11.3377,1.8338,0.7449,3.169
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,11.4727,1.8417,0.7462,3.1959
mband_linear_N8_F8_O75_FL0p001,linear,8,8,75,0.001,1,11.565,1.838,0.7414,3.152
mband_linear_N8_F8_O75_FL0p3,linear,8,8,75,0.3,1,11.9294,1.8607,0.7463,3.1597
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,11.6928,1.8667,0.7405,3.1041
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,11.7319,1.8581,0.7416,3.119
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,11.7002,1.8706,0.7419,3.1626
mband_log_N16_F20_O25_FL0p001,log,16,20,25,0.001,1,8.475,1.6606,0.7316,3.4536
mband_log_N16_F20_O25_FL0p3,log,16,20,25,0.3,1,8.8888,1.6888,0.7357,3.3677
