config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N4_F8_O75_FL0p5,2.413931369781494,hybrid,mel,4,8,75,1,0.5,1,1
mband_mel_N4_F8_O75_FL0p7,2.3865606784820557,hybrid,mel,4,8,75,1,0.7,1,1
mband_mel_N4_F8_O75_FL0p8,2.361747980117798,hybrid,mel,4,8,75,1,0.8,1,1
mband_mel_N4_F20_O25_FL0p5,1.2394587993621826,hybrid,mel,4,20,25,1,0.5,1,1
mband_mel_N4_F20_O25_FL0p7,1.200770616531372,hybrid,mel,4,20,25,1,0.7,1,1
mband_mel_N4_F20_O25_FL0p8,1.2175264358520508,hybrid,mel,4,20,25,1,0.8,1,1
mband_mel_N4_F20_O50_FL0p5,1.317357063293457,hybrid,mel,4,20,50,1,0.5,1,1
mband_mel_N4_F20_O50_FL0p7,1.2919058799743652,hybrid,mel,4,20,50,1,0.7,1,1
mband_mel_N4_F20_O50_FL0p8,1.3626773357391357,hybrid,mel,4,20,50,1,0.8,1,1
mband_mel_N4_F20_O75_FL0p5,1.7001276016235352,hybrid,mel,4,20,75,1,0.5,1,1
mband_mel_N4_F20_O75_FL0p7,1.6732664108276367,hybrid,mel,4,20,75,1,0.7,1,1
mband_mel_N4_F20_O75_FL0p8,1.730912208557129,hybrid,mel,4,20,75,1,0.8,1,1
mband_mel_N4_F25_O25_FL0p5,1.134817361831665,hybrid,mel,4,25,25,1,0.5,1,1
mband_mel_N4_F25_O25_FL0p7,1.1829850673675537,hybrid,mel,4,25,25,1,0.7,1,1
mband_mel_N4_F25_O25_FL0p8,1.1790928840637207,hybrid,mel,4,25,25,1,0.8,1,1
mband_mel_N4_F25_O50_FL0p5,1.289219856262207,hybrid,mel,4,25,50,1,0.5,1,1
mband_mel_N4_F25_O50_FL0p7,1.2893085479736328,hybrid,mel,4,25,50,1,0.7,1,1
mband_mel_N4_F25_O50_FL0p8,1.2868831157684326,hybrid,mel,4,25,50,1,0.8,1,1
mband_mel_N4_F25_O75_FL0p5,1.4796850681304932,hybrid,mel,4,25,75,1,0.5,1,1
mband_mel_N4_F25_O75_FL0p7,1.5342841148376465,hybrid,mel,4,25,75,1,0.7,1,1
mband_mel_N4_F25_O75_FL0p8,1.5464439392089844,hybrid,mel,4,25,75,1,0.8,1,1
mband_mel_N8_F8_O25_FL0p5,1.6340219974517822,hybrid,mel,8,8,25,1,0.5,1,1
mband_mel_N8_F8_O25_FL0p7,1.6630821228027344,hybrid,mel,8,8,25,1,0.7,1,1
