Phase,Test_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,Floor,VAD,Noise_File,Noise_Category,Clean_File,SNR_dB,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
2,P2_linear_F0.3_5dB_Stre,linear,8,20,75,1,1,0.3,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.654759168624878,0.7402306199073792,11.930803298950195,3.4429656154409343,3.8302653072431543,4.521037539817758,Success
2,P2_linear_F0.5_5dB_Stre,linear,8,20,75,1,1,0.5,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.7101134061813354,0.7673240303993225,12.876457214355469,3.516909211726398,3.929996072892374,4.421206645050631,Success
2,P2_linear_F0.8_5dB_Stre,linear,8,20,75,1,1,0.8,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.7521789073944092,0.7788963317871094,12.305587768554688,3.6095306862723726,4.090284827502678,4.193079861701945,Success
2,P2_log_F0.002_10dB_PC F,log,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.6550445556640625,0.8484674096107483,14.755927085876465,3.8517374463996075,4.168250313183273,4.54723533242799,Success
2,P2_log_F0.1_10dB_PC F,log,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.7040743827819824,0.8565715551376343,15.264202117919922,3.9935171579432773,4.275968803718371,4.662990388088835,Success
2,P2_log_F0.3_10dB_PC F,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.838407278060913,0.8540762066841125,15.051605224609375,3.91106534081332,4.211642977952585,4.6354969351635695,Success
2,P2_log_F0.5_10dB_PC F,log,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.819777250289917,0.8417122960090637,15.243270874023438,3.9105941028864133,4.225881360735376,4.6179217105406005,Success
2,P2_log_F0.8_10dB_PC F,log,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.8105509281158447,0.8566022515296936,16.317935943603516,4.098219042466758,4.395063790742714,4.648874812503328,Success
2,P2_linear_F0.002_10dB_PC F,linear,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.6922247409820557,0.8527679443359375,14.175994873046875,4.141143341562629,4.4223410030439565,4.671575885695898,Success
2,P2_linear_F0.1_10dB_PC F,linear,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.7121453285217285,0.8517504930496216,15.480791091918945,4.026331616088449,4.317337998283709,4.64447773186636,Success
2,P2_linear_F0.3_10dB_PC F,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.7930221557617188,0.8434533476829529,16.190738677978516,4.138012236768793,4.458239500895854,4.631359995579185,Success
2,P2_linear_F0.5_10dB_PC F,linear,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.777400016784668,0.8580014109611511,15.672616958618164,4.093837639451358,4.352352101455781,4.676528002424941,Success
2,P2_linear_F0.8_10dB_PC F,linear,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.7342498302459717,0.8460072875022888,16.097660064697266,3.929351558534099,4.2331569598906675,4.633506011235747,Success
2,P2_log_F0.002_10dB_Stre,log,8,20,75,1,1,0.002,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.0200555324554443,0.8080330491065979,13.197103500366211,3.6988527056354004,4.085604657090312,4.473578402810712,Success
2,P2_log_F0.1_10dB_Stre,log,8,20,75,1,1,0.1,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.0857152938842773,0.8225646018981934,14.20146369934082,3.9583902278569654,4.264113263413579,4.574278351435657,Success
2,P2_log_F0.3_10dB_Stre,log,8,20,75,1,1,0.3,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.075735330581665,0.8282488584518433,15.003389358520508,3.873965667471827,4.214372218371094,4.577663463548561,Success
2,P2_log_F0.5_10dB_Stre,log,8,20,75,1,1,0.5,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.144202947616577,0.8078373670578003,15.220974922180176,3.6167388662299698,4.062781477127069,4.419337348033012,Success
2,P2_log_F0.8_10dB_Stre,log,8,20,75,1,1,0.8,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.1660988330841064,0.8059422969818115,15.834396362304688,3.7144250848622526,4.108412601206001,4.4625732556675555,Success
2,P2_linear_F0.002_10dB_Stre,linear,8,20,75,1,1,0.002,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,1.7826389074325562,0.79503333568573,13.46749496459961,3.608640420240922,3.977702940828208,4.450281131820859,Success
2,P2_linear_F0.1_10dB_Stre,linear,8,20,75,1,1,0.1,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.050295829772949,0.7831146717071533,14.86709976196289,3.371174708765748,3.8932700561545817,4.013820583887135,Success
2,P2_linear_F0.3_10dB_Stre,linear,8,20,75,1,1,0.3,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.1703052520751953,0.8267552256584167,15.489656448364258,3.8840321899632255,4.226030567903611,4.496760770784373,Success
2,P2_linear_F0.5_10dB_Stre,linear,8,20,75,1,1,0.5,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.1135547161102295,0.796937108039856,15.396580696105957,3.907300862192954,4.271454565896802,4.466183126556709,Success
2,P2_linear_F0.8_10dB_Stre,linear,8,20,75,1,1,0.8,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,10,2.056549072265625,0.8120765686035156,15.284353256225586,3.6795678567951597,4.139449723346212,4.290329708948477,Success
